title,price,bhk,area_sqft,parking
3 BHK Independent Builder Floor in Shastri Nagar,11500000.0,3.0,900.0,1.0
4.5 BHK Independent Builder Floor in Chittaranjan Park,70000000.0,5.0,2100.0,1.0
3 BHK Independent Builder Floor in Rajpur Khurd Extension,89.0,3.0,1200.0,1.0
3 BHK Independent Builder Floor in Krishna Nagar,28000000.0,3.0,1800.0,1.0
2 BHK Independent Builder Floor in Uttam Nagar,40.0,2.0,650.0,1.0
4 BHK Independent Builder Floor in Bharthal,11500000.0,4.0,1150.0,1.0
3 BHK Independent Builder Floor in AGCR Enclave,36000000.0,3.0,1800.0,1.0
3 BHK Flat in Khanpur,53.0,3.0,950.0,
2 BHK Flat in Khanpur,36.5,2.0,650.0,
2 BHK Flat in Khanpur,35.0,2.0,685.0,
4 BHK Flat in Sector 22 Dwarka,41500000.0,4.0,2300.0,1.0
3 BHK Independent Builder Floor in Sector 25 Rohini,12500000.0,3.0,1000.0,1.0
3 BHK Independent Builder Floor in Rohini Sector 28,75.0,3.0,840.0,1.0
3 BHK Independent Builder Floor in Kalkaji,43500000.0,3.0,1800.0,1.0
3 BHK Independent Builder Floor in Sector 23 Rohini,12000000.0,3.0,1000.0,1.0
3 BHK Independent Builder Floor in Sector 23 Rohini,11500000.0,3.0,1000.0,1.0
3 BHK Independent Builder Floor in Sector 24 Rohini,13799999.999999998,3.0,1100.0,1.0
3 BHK Independent Builder Floor in Chittaranjan Park,59000000.0,3.0,1800.0,1.0
3 BHK Independent Builder Floor in Govindpuri,52.0,3.0,1000.0,
3 BHK Independent Builder Floor in Mukherjee Nagar,25000000.0,3.0,1440.0,1.0
3 BHK Independent Builder Floor in Mukherjee Nagar,22500000.0,3.0,1440.0,1.0
3 BHK Independent Builder Floor in Mukherjee Nagar,22000000.0,3.0,1440.0,1.0
4 BHK Flat in Sector 7 Dwarka,32000000.0,4.0,2200.0,1.0
3 BHK Flat in Sector 18 Dwarka,30000000.0,3.0,1600.0,
3 BHK Flat in Sector 12 Dwarka,29500000.0,3.0,1800.0,
5 BHK Flat in Vasant Kunj,50000000.0,5.0,2500.0,
3 BHK Flat in Sector 13 Dwarka,22500000.0,3.0,1650.0,1.0
4 BHK Flat in Sector 18 Dwarka,37500000.0,4.0,1800.0,
3 BHK Independent Builder Floor in Vikaspuri,32500000.0,3.0,1800.0,1.0
4 BHK Flat in Sector 7 Dwarka,32500000.0,4.0,2200.0,
2 BHK Independent Builder Floor in Govindpuri Extension,54.0,2.0,550.0,1.0
3 BHK Flat in Vikaspuri,16500000.0,3.0,1300.0,1.0
3 BHK Independent Builder Floor in Sector 23 Rohini,95.0,3.0,900.0,1.0
4 BHK Flat in Sector 7 Dwarka,32500000.0,4.0,2100.0,
2 BHK Flat in Maidan Garhi,58.0,2.0,800.0,
3 BHK Flat in Sector 10 Dwarka,28800000.0,3.0,1800.0,1.0
1 BHK Flat in Dwarka Mor,24.0,1.0,400.0,1.0
3 BHK Flat in Vasant Kunj,14500000.0,3.0,1300.0,
3 BHK Flat in Vasant Kunj,14500000.0,3.0,1300.0,
2 BHK Independent Builder Floor in Nawada,25.0,2.0,540.0,
3 BHK Independent Builder Floor in Sector 15 Dwarka,66.0,3.0,1000.0,1.0
1 BHK Flat in Rajpur,27.0,1.0,450.0,
2 BHK Flat in Rajpur,47.0,2.0,750.0,1.0
3 BHK Independent Builder Floor in Greater Kailash I,60000000.0,3.0,1900.0,1.0
3 BHK Independent Builder Floor in Greater Kailash I,60000000.0,3.0,1900.0,1.0
3 BHK Independent Builder Floor in Greater Kailash I,68000000.0,3.0,1900.0,1.0
2 BHK Flat in Mahavir Enclave,55.0,2.0,650.0,1.0
3 BHK Flat in Sector 10 Dwarka,26500000.0,3.0,1800.0,1.0
4 BHK Flat in Sector 7 Dwarka,32500000.0,4.0,2200.0,1.0
4 BHK Independent Builder Floor in Punjabi Bagh,59000000.0,4.0,2520.0,1.0
3 BHK Flat in Vikaspuri,15000000.0,3.0,1100.0,1.0
3 BHK Independent Builder Floor in Govindpuri,65.0,3.0,850.0,1.0
2 BHK Independent Builder Floor in Govindpuri,35.0,2.0,570.0,1.0
3 BHK Independent Builder Floor in Greater Kailash I,62500000.0,3.0,1800.0,1.0
3 BHK Flat in Sector 13 Dwarka,22500000.0,3.0,1650.0,1.0
3 BHK Independent Builder Floor in Sector 25 Rohini,13500000.0,3.0,1100.0,1.0
3 BHK Independent Builder Floor in Sector 25 Rohini,11200000.000000002,3.0,1000.0,1.0
2 BHK Flat in Khanpur,35.5,2.0,660.0,
3 BHK Independent Builder Floor in Paschim Vihar,27500000.0,3.0,1350.0,1.0
4 BHK Independent Builder Floor in Sector 24 Rohini,17500000.0,4.0,1450.0,1.0
3 BHK Flat in Nangli Sakrawati,55.0,3.0,800.0,1.0
4 BHK Independent Builder Floor in Bharthal,12100000.0,4.0,1450.0,1.0
3 BHK Independent Builder Floor in Dwarka Mor,75.0,3.0,900.0,1.0
2 BHK Independent Builder Floor in Shastri Nagar,60.0,2.0,495.0,1.0
3 BHK Independent Builder Floor in Sector 20 Rohini,82.0,3.0,1100.0,1.0
3 BHK Flat in Sector 15 Dwarka,66.0,3.0,900.0,1.0
3 BHK Independent Builder Floor in Rajpur,90.1,3.0,1250.0,1.0
4 BHK Independent Builder Floor in Swasthya Vihar,65000000.0,4.0,3600.0,
2 BHK Independent Builder Floor in Najafgarh,43.0,2.0,900.0,
4 BHK Flat in Sector 11 Dwarka,39000000.0,4.0,2400.0,1.0
4 BHK Independent Builder Floor in Rohini Sector 28,12500000.0,4.0,1450.0,1.0
2 BHK Independent Builder Floor in Palam,60.11,2.0,743.0,
3 BHK Independent Builder Floor in Sector 23 Rohini,90.0,3.0,995.0,
3 BHK Independent Builder Floor in Pitampura,35000000.0,3.0,1700.0,
4 BHK Independent Builder Floor in Pitampura,66000000.0,4.0,2250.0,
3 BHK Flat in Sector 9 Dwarka,29800000.0,3.0,1900.0,
3 BHK Flat in Sector 15 Dwarka,72.0,3.0,1000.0,1.0
2 BHK Independent Builder Floor in Palam,59.97,2.0,760.0,
3 BHK Flat in Vasant Kunj,38000000.0,3.0,2000.0,
4 BHK Flat in Vasant Kunj,125000000.0,4.0,2500.0,
4 BHK Flat in Sector 11 Dwarka,34500000.0,4.0,2200.0,1.0
4 BHK Independent Builder Floor in Pitampura,60000000.0,4.0,2700.0,1.0
4 BHK Independent Builder Floor in Pitampura,62000000.0,4.0,2700.0,1.0
3 BHK Independent Builder Floor in Malviya Nagar,19500000.0,3.0,1125.0,1.0
2 BHK Flat in Khanpur,31.0,2.0,650.0,
4 BHK Independent Builder Floor in East Of Kailash,51500000.0,4.0,3600.0,1.0
2 BHK Flat in Razapur Khurd,33.0,2.0,540.0,
2 BHK Flat in Sector 9 Dwarka,21000000.0,2.0,1450.0,1.0
3 BHK Independent Builder Floor in East Of Kailash,65000000.0,3.0,2250.0,
4 BHK Flat in Sector 11 Dwarka,39000000.0,4.0,2400.0,1.0
4 BHK Flat in Sector 11 Dwarka,34500000.0,4.0,2300.0,1.0
4 BHK Flat in Rajouri Garden,60000000.0,4.0,4400.0,1.0
2 BHK Flat in Sector 15 Dwarka,42.0,2.0,600.0,1.0
3 BHK Independent Builder Floor in Deenpur,70.0,3.0,1100.0,
3 BHK Independent Builder Floor in Chittaranjan Park,57500000.0,3.0,2097.0,
3 BHK Flat in Sector 19 Dwarka,23500000.0,3.0,1550.0,
1 BHK Flat in Dwarka Mor,23.5,1.0,405.0,
3 BHK Flat in Sector 15 Dwarka,66.53,3.0,900.0,1.0
4 BHK Independent Builder Floor in Punjabi Bagh,105000000.0,4.0,4950.0,1.0
2 BHK Independent Builder Floor in Rajpur,55.21,2.0,800.0,1.0
3 BHK Flat in Paschim Vihar,18000000.0,3.0,1600.0,
2 BHK Flat in Sector 12 Dwarka,14500000.0,2.0,1200.0,
3 BHK Flat in Khanpur,58.0,3.0,1000.0,
2 BHK Flat in Khanpur,30.5,2.0,650.0,
3 BHK Flat in Sector 19 Dwarka,23800000.0,3.0,1500.0,
4 BHK Independent Builder Floor in Punjabi Bagh,110000000.0,4.0,5997.0,1.0
3 BHK Flat in Sector 15 Dwarka,65.65,3.0,900.0,1.0
3 BHK Independent Builder Floor in Ashok Vihar,41500000.0,3.0,1800.0,1.0
2 BHK Flat in Deenpur,26.0,2.0,450.0,1.0
3 BHK Independent House in Aya Nagar,15000000.0,3.0,1800.0,1.0
3 BHK Independent Builder Floor in Sector 22 Rohini,13000000.0,3.0,1100.0,1.0
3 BHK Independent Builder Floor in Sector 22 Rohini,13799999.999999998,3.0,1100.0,1.0
3 BHK Independent Builder Floor in Greater Kailash I,75000000.0,3.0,1872.0,1.0
2 BHK Independent Builder Floor in Sector 8 Dwarka,95.0,2.0,650.0,1.0
3 BHK Flat in Sector 5 Dwarka,25500000.0,3.0,1600.0,
4 BHK Flat in Sector 19 Dwarka,33900000.0,4.0,1800.0,
1 BHK Flat in Sector 18 Dwarka,96.0,1.0,550.0,1.0
2 BHK Flat in Khanpur,40.0,2.0,700.0,1.0
2 BHK Independent Builder Floor in Ramesh Nagar,50.0,2.0,600.0,
4 BHK Independent Builder Floor in Kailash Colony,79000000.0,4.0,4900.0,1.0
3 BHK Flat in Sector 19 Dwarka,34000000.0,3.0,1700.0,1.0
3 BHK Flat in Sector 12 Dwarka,32900000.0,3.0,1700.0,
3 BHK Independent Builder Floor in Sector 23 Rohini,82.0,3.0,865.0,1.0
3 BHK Flat in Sector 23 Dwarka,26200000.0,3.0,1500.0,1.0
3 BHK Flat in Sector 2 Dwarka,27500000.0,3.0,1800.0,
3 BHK Independent Builder Floor in Sector 24 Rohini,13799999.999999998,3.0,1110.0,1.0
3 BHK Independent Builder Floor in Sector 23 Rohini,12100000.0,3.0,950.0,1.0
3 BHK Independent Builder Floor in Chhattarpur,95.0,3.0,1150.0,
2 BHK Flat in Sector 4 Dwarka,18200000.0,2.0,1200.0,
3 BHK Independent Builder Floor in Safdarjung Enclave,32000000.0,3.0,1800.0,1.0
3 BHK Flat in Sector 19 Dwarka,29000000.0,3.0,1600.0,1.0
2 BHK Independent Builder Floor in Sector 25 Rohini,60.0,2.0,700.0,1.0
2 BHK Flat in Neb Sarai,60.0,2.0,800.0,1.0
1 BHK Independent Builder Floor in Uttam Nagar,20.0,1.0,400.0,1.0
4 BHK Independent Builder Floor in New Friends Colony,105000000.0,4.0,4500.0,
3 BHK Flat in Sector 11 Dwarka,24800000.0,3.0,1700.0,
4 BHK Independent Builder Floor in Sector 8 Dwarka,28000000.0,4.0,2250.0,1.0
4 BHK Flat in Sector 13 Dwarka,37800000.0,4.0,2200.0,
Residential Plot in Rohini Sector 28,36000000.0,,120.0,
3 BHK Flat in Sector 23 Dwarka,26500000.0,3.0,2000.0,1.0
3 BHK Flat in Sector 3 Dwarka,24800000.0,3.0,1700.0,
3 BHK Flat in Sector 19 Dwarka,28500000.0,3.0,1600.0,
3 BHK Flat in Sector 6 Dwarka,24500000.0,3.0,1600.0,
3 BHK Flat in Sector 3 Dwarka,26800000.0,3.0,1600.0,
3 BHK Flat in Sector 12 Dwarka,27200000.000000004,3.0,1700.0,
3 BHK Flat in Sector 12 Dwarka,32500000.0,3.0,1800.0,
2 BHK Independent Builder Floor in Sector 24 Rohini,36.5,2.0,550.0,1.0
4 BHK Flat in Sector 10 Dwarka,35500000.0,4.0,1800.0,
3 BHK Flat in Sector 3 Dwarka,18500000.0,3.0,1200.0,
2 BHK Independent Builder Floor in Shastri Nagar,55.0,2.0,620.0,1.0
4 BHK Independent Builder Floor in Green Park,110000000.0,4.0,3600.0,
2 BHK Independent Builder Floor in Sector 17 Rohini,95.0,2.0,750.0,1.0
3 BHK Independent Builder Floor in Vikaspuri,20500000.0,3.0,1125.0,1.0
3 BHK Independent Builder Floor in Vikaspuri,35000000.0,3.0,1800.0,1.0
3 BHK Independent Builder Floor in Vikaspuri,22500000.0,3.0,1125.0,1.0
4 BHK Flat in Sector 24 Rohini,97.0,4.0,1260.0,
3 BHK Independent Builder Floor in Sector 6 Rohini,19000000.0,3.0,1350.0,
4 BHK Flat in Burari,75.0,4.0,1350.0,1.0
1 BHK Flat in Sector 18 Dwarka,11200000.000000002,1.0,600.0,1.0
4 BHK Flat in Sector 4 Dwarka,41000000.0,4.0,2200.0,
2 BHK Flat in Sector 6 Dwarka,22000000.0,2.0,1550.0,1.0
4 BHK Flat in Sector 6 Dwarka,39000000.0,4.0,2400.0,1.0
Residential Plot in Rohini Sector 28,14000000.0,,60.0,
2 BHK Independent Builder Floor in Vikaspuri,11500000.0,2.0,850.0,1.0
2 BHK Flat in Burari,38.0,2.0,750.0,1.0
2 BHK Independent Builder Floor in Govindpuri,38.0,2.0,600.0,1.0
3 BHK Flat in Sector 11 Dwarka,26800000.0,3.0,1958.0,1.0
Residential Plot in Rohini Sector 28,18500000.0,,60.0,
3 BHK Flat in Sector 11 Dwarka,24800000.0,3.0,1800.0,1.0
3 BHK Independent Builder Floor in Mukherjee Nagar,24000000.0,3.0,1440.0,1.0
3 BHK Flat in Rajpur,70.0,3.0,1000.0,1.0
3 BHK Flat in Rajpur,70.0,3.0,1000.0,1.0
3 BHK Flat in Vasant Kunj,14300000.0,3.0,1300.0,
3 BHK Flat in Vasant Kunj,14500000.0,3.0,1300.0,
3 BHK Flat in Vasant Kunj,14500000.0,3.0,1300.0,1.0
3 BHK Flat in Vasant Kunj,14500000.0,3.0,1300.0,1.0
3 BHK Flat in Vasant Kunj,14500000.0,3.0,1300.0,1.0
3 BHK Flat in Vasant Kunj,14400000.0,3.0,1300.0,1.0
3 BHK Flat in Vasant Kunj,14300000.0,3.0,1300.0,1.0
3 BHK Flat in Vasant Kunj,14500000.0,3.0,1300.0,1.0
3 BHK Independent Builder Floor in Mansarover Garden,22500000.0,3.0,1350.0,
1 BHK Flat in Neb Sarai,27.5,1.0,500.0,
3 BHK Flat in Sector 12 Dwarka,32500000.0,3.0,1958.0,1.0
3 BHK Flat in Vikaspuri,15000000.0,3.0,1125.0,1.0
3 BHK Flat in Sector 11 Dwarka,24800000.0,3.0,1700.0,
3 BHK Flat in Sector 7 Dwarka,23800000.0,3.0,1700.0,
2 BHK Flat in Khanpur,36.0,2.0,685.0,
2 BHK Independent Builder Floor in Khanpur,33.0,2.0,650.0,
3 BHK Independent Builder Floor in Pitampura,37500000.0,3.0,1700.0,1.0
2 BHK Independent Builder Floor in Sector 24 Rohini,75.0,2.0,700.0,1.0
2 BHK Independent Builder Floor in Sector 24 Rohini,75.0,2.0,700.0,1.0
3 BHK Independent Builder Floor in Sector 25 Rohini,11000000.0,3.0,1000.0,1.0
3 BHK Independent Builder Floor in Sector 25 Rohini,14000000.0,3.0,1100.0,1.0
3 BHK Independent Builder Floor in Sector 25 Rohini,11200000.000000002,3.0,1000.0,1.0
3 BHK Independent Builder Floor in Sector 25 Rohini,15200000.0,3.0,1100.0,1.0
2 BHK Flat in Sector 17 Dwarka,14000000.0,2.0,1250.0,
3 BHK Flat in Sector 23 Dwarka,27500000.0,3.0,1700.0,
1 BHK Flat in Rajpur,27.0,1.0,450.0,
1 BHK Flat in Rajpur,27.0,1.0,450.0,
1 BHK Flat in Rajpur,27.0,1.0,450.0,
2 BHK Flat in Rajpur,48.0,2.0,750.0,1.0
2 BHK Flat in Rajpur Khurd Village,50.0,2.0,750.0,1.0
3 BHK Independent Builder Floor in Sector 24 Rohini,13000000.0,3.0,1100.0,1.0
3 BHK Independent Builder Floor in Sector 20 Rohini,87.0,3.0,1100.0,1.0
3 BHK Independent Builder Floor in Sector 20 Rohini,96.0,3.0,1100.0,1.0
3 BHK Independent Builder Floor in Sector 20 Rohini,98.0,3.0,1100.0,1.0
3 BHK Independent Builder Floor in Sector 25 Rohini,13500000.0,3.0,1100.0,1.0
4 BHK Flat in Sector 19 Dwarka,41000000.0,4.0,2200.0,1.0
3 BHK Flat in Sector 2 Dwarka,27500000.0,3.0,2000.0,1.0
3 BHK Flat in Sector 22 Dwarka,22100000.0,3.0,1550.0,
3 BHK Independent Builder Floor in Deenpur,14900000.0,3.0,1350.0,1.0
3 BHK Independent Builder Floor in Krishna Nagar,31500000.0,3.0,1800.0,
4 BHK Independent Builder Floor in Sector 24 Rohini,17400000.0,4.0,1400.0,1.0
3 BHK Independent Builder Floor in Sector 24 Rohini,15000000.0,3.0,1250.0,1.0
3 BHK Independent Builder Floor in Sector 24 Rohini,16500000.0,3.0,1200.0,1.0
3 BHK Independent Builder Floor in Sector 24 Rohini,13799999.999999998,3.0,1100.0,1.0
4 BHK Independent Builder Floor in Rohini Extension,26200000.0,4.0,2300.0,1.0
3 BHK Independent Builder Floor in Sector 20 Rohini,95.0,3.0,1100.0,1.0
3 BHK Independent Builder Floor in Paschim Vihar,27500000.0,3.0,1350.0,
3 BHK Independent Builder Floor in Govindpuri,62.0,3.0,1000.0,1.0
3 BHK Independent Builder Floor in Palam,80.5,3.0,1131.0,
3 BHK Independent House in Hastsal,14500000.0,3.0,1000.0,1.0
2 BHK Flat in Sector 12 Dwarka,17500000.0,2.0,1100.0,1.0
3 BHK Flat in Sector 19 Dwarka,23800000.0,3.0,1500.0,
4 BHK Flat in Sector 6 Dwarka,39200000.0,4.0,2200.0,1.0
3 BHK Flat in Sector 4 Dwarka,29900000.000000004,3.0,1950.0,1.0
2 BHK Independent Builder Floor in Vikaspuri,11500000.0,2.0,900.0,1.0
3 BHK Independent Builder Floor in Vikaspuri,17500000.0,3.0,1125.0,1.0
3 BHK Flat in Sector 9 Dwarka,29700000.000000004,3.0,1850.0,
2 BHK Flat in Sector 4 Dwarka,18100000.0,2.0,1250.0,
4 BHK Flat in Sector 19 Dwarka,33800000.0,4.0,2200.0,
3 BHK Flat in Sector 4 Dwarka,26000000.0,3.0,1700.0,
2 BHK Independent Builder Floor in Malviya Nagar,16000000.0,2.0,900.0,1.0
4 BHK Flat in Sector 11 Dwarka,32500000.0,4.0,2300.0,1.0
4 BHK Flat in Sector 11 Dwarka,32500000.0,4.0,2200.0,1.0
4 BHK Flat in Sector 11 Dwarka,38500000.0,4.0,2200.0,1.0
3 BHK Flat in Najafgarh,65.0,3.0,900.0,1.0
4 BHK Independent Builder Floor in Greater Kailash,70000000.0,4.0,2700.0,1.0
2 BHK Flat in Janakpuri,90.0,2.0,800.0,1.0
3 BHK Independent Builder Floor in Chittaranjan Park,28500000.0,3.0,1440.0,
2 BHK Flat in Sector 15 Dwarka,45.0,2.0,600.0,1.0
3 BHK Flat in Sector 4 Dwarka,25800000.0,3.0,1750.0,1.0
3 BHK Flat in Sector 22 Dwarka,29700000.000000004,3.0,1900.0,1.0
2 BHK Independent Builder Floor in Govindpuri,50.0,2.0,600.0,
3 BHK Independent Builder Floor in East Of Kailash,31500000.0,3.0,1125.0,1.0
4 BHK Independent Builder Floor in Sector 24 Rohini,23900000.0,4.0,1600.0,1.0
3 BHK Independent Builder Floor in Paschim Vihar,28500000.0,3.0,1350.0,
3 BHK Independent Builder Floor in Rajpur,75.0,3.0,900.0,
2 BHK Flat in Sector 6 Dwarka,22000000.0,2.0,1100.0,
3 BHK Flat in Sector 7 Dwarka,23800000.0,3.0,1700.0,
2 BHK Flat in Rajpur,58.0,2.0,800.0,1.0
2 BHK Flat in Rajpur,55.0,2.0,800.0,1.0
3 BHK Flat in Sector 6 Dwarka,27000000.0,3.0,1750.0,
3 BHK Independent Builder Floor in Vishnu Garden,11800000.0,3.0,622.0,1.0
4 BHK Independent Builder Floor in Kirti Nagar,46000000.0,4.0,2700.0,1.0
3 BHK Independent Builder Floor in Greater Kailash I,58500000.0,3.0,1872.0,1.0
3 BHK Flat in Sector 6 Dwarka,29000000.0,3.0,2000.0,1.0
4 BHK Independent Builder Floor in Ashok Vihar,65000000.0,4.0,2800.0,
2 BHK Independent Builder Floor in Sant Nagar,91.0,2.0,850.0,
2 BHK Flat in Sector 17 Dwarka,14000000.0,2.0,1250.0,
3 BHK Flat in Sector 23 Dwarka,27500000.0,3.0,1700.0,
3 BHK Flat in Sector 27 Dwarka,72.0,3.0,1300.0,1.0
4 BHK Independent Builder Floor in Rohini Extension,27500000.0,4.0,2350.0,
3 BHK Independent Builder Floor in East Of Kailash,60000000.0,3.0,2250.0,1.0
3 BHK Flat in Rajpur,75.0,3.0,1000.0,1.0
3 BHK Flat in Rajpur,75.0,3.0,1000.0,1.0
3 BHK Flat in Rajpur,75.0,3.0,1000.0,1.0
3 BHK Flat in Rajpur,75.0,3.0,1000.0,1.0
3 BHK Flat in Rajpur,75.0,3.0,1000.0,1.0
3 BHK Flat in Rajpur,75.0,3.0,1000.0,1.0
3 BHK Independent Builder Floor in Sector 20 Rohini,87.0,3.0,1100.0,1.0
3 BHK Independent Builder Floor in Sector 22 Rohini,11500000.0,3.0,1150.0,1.0
3 BHK Flat in Sector 2 Dwarka,27500000.0,3.0,1800.0,1.0
3 BHK Flat in Sector 22 Dwarka,29500000.0,3.0,1700.0,1.0
3 BHK Flat in Rajpur,75.0,3.0,1000.0,1.0
3 BHK Flat in Sector 10 Dwarka,24000000.0,3.0,1700.0,
1 BHK Independent Builder Floor in Govindpuri,19.0,1.0,450.0,1.0
4 BHK Flat in Sector 5 Dwarka,38500000.0,4.0,2600.0,
3 BHK Independent Builder Floor in Najafgarh,70.0,3.0,1000.0,1.0
3 BHK Independent Builder Floor in Najafgarh,71.0,3.0,1000.0,1.0
3 BHK Independent Builder Floor in Najafgarh,72.0,3.0,1000.0,1.0
3 BHK Independent Builder Floor in Najafgarh,68.0,3.0,1000.0,1.0
3 BHK Independent Builder Floor in Najafgarh,75.0,3.0,1000.0,1.0
3 BHK Independent Builder Floor in Najafgarh,66.0,3.0,1000.0,1.0
3 BHK Independent Builder Floor in Najafgarh,69.0,3.0,1000.0,1.0
3 BHK Independent Builder Floor in Najafgarh,68.5,3.0,1000.0,1.0
4 BHK Independent Builder Floor in Bharthal,11000000.0,4.0,1200.0,1.0
3 BHK Independent Builder Floor in Bharthal,95.0,3.0,1000.0,1.0
3 BHK Flat in Sector 4 Dwarka,26000000.0,3.0,1700.0,
4 BHK Flat in Sector 4 Dwarka,41000000.0,4.0,2200.0,
2 BHK Flat in Sector 15 Rohini,14000000.0,2.0,1050.0,1.0
2 BHK Flat in Maidan Garhi,40.0,2.0,810.0,1.0
3 BHK Flat in Sector 22 Dwarka,27500000.0,3.0,1800.0,1.0
3 BHK Independent Builder Floor in Sector 25 Rohini,10500000.0,3.0,1000.0,1.0
3 BHK Independent Builder Floor in Paschim Vihar,27500000.0,3.0,1350.0,1.0
3 BHK Independent House in Paschim Vihar,20000000.0,3.0,1250.0,
4 BHK Flat in Sector 4 Dwarka,34500000.0,4.0,2200.0,1.0
3 BHK Flat in Sector 3 Dwarka,28000000.0,3.0,1800.0,1.0
3 BHK Independent Builder Floor in Sector 20 Rohini,85.0,3.0,1100.0,1.0
3 BHK Flat in Sector 2 Dwarka,27600000.0,3.0,1875.0,1.0
3 BHK Independent Builder Floor in Mahavir Enclave,79.5,3.0,900.0,1.0
3 BHK Flat in Sector 22 Dwarka,33000000.0,3.0,1700.0,1.0
3 BHK Independent Builder Floor in Sector 17 Rohini,17500000.0,3.0,1250.0,1.0
3 BHK Flat in Sector 4 Dwarka,30500000.0,3.0,1900.0,1.0
4 BHK Flat in Sector 9 Dwarka,36500000.0,4.0,2400.0,1.0
3 BHK Flat in Rajpur,10000000.0,3.0,1400.0,
3 BHK Flat in Rajpur,98.0,3.0,1350.0,
4 BHK Independent Builder Floor in Sector 17 Rohini,36000000.0,4.0,2300.0,1.0
4 BHK Flat in Sector 9 Dwarka,36500000.0,4.0,2400.0,
2 BHK Flat in Sector 15 Rohini,12000000.0,2.0,1050.0,1.0
2 BHK Flat in Paschim Vihar,11500000.0,2.0,1300.0,
3 BHK Independent Builder Floor in Ashok Vihar,40100000.0,3.0,1800.0,
3 BHK Flat in Sector 23 Dwarka,26500000.0,3.0,1800.0,1.0
2 BHK Independent Builder Floor in Paschim Vihar,14000000.0,2.0,750.0,
3 BHK Independent Builder Floor in Sector 25 Rohini,11000000.0,3.0,1000.0,1.0
3 BHK Flat in Sector 23 Dwarka,27500000.0,3.0,1800.0,
3 BHK Independent Builder Floor in Sector 21 Rohini,11500000.0,3.0,1100.0,1.0
3 BHK Independent Builder Floor in Paschim Vihar,40000000.0,3.0,1800.0,
4 BHK Independent Builder Floor in Paschim Vihar,55000000.0,4.0,2700.0,
1 BHK Flat in Neb Sarai,30.0,1.0,500.0,
1 BHK Flat in Neb Sarai,30.0,1.0,500.0,
3 BHK Independent Builder Floor in Sector 17 Rohini,17500000.0,3.0,1250.0,1.0
3 BHK Flat in Sector 6 Dwarka,29000000.0,3.0,2000.0,1.0
3 BHK Independent Builder Floor in Paschim Vihar,26000000.0,3.0,1300.0,1.0
3 BHK Independent Builder Floor in Uttam Nagar,55.0,3.0,810.0,1.0
3 BHK Independent Builder Floor in Uttam Nagar,56.0,3.0,850.0,1.0
3 BHK Independent Builder Floor in Rajpur,70.0,3.0,1200.0,1.0
3 BHK Independent Builder Floor in Rajpur,91.0,3.0,1150.0,
3 BHK Independent Builder Floor in Rajpur,84.0,3.0,1150.0,
3 BHK Independent Builder Floor in Shakur Basti,13500000.0,3.0,1350.0,1.0
3 BHK Independent Builder Floor in Shakurpur,13000000.0,3.0,1395.0,1.0
1 BHK Flat in Dwarka Mor,15.6,1.0,400.0,1.0
3 BHK Independent Builder Floor in Uttam Nagar,67.0,3.0,810.0,1.0
2 BHK Independent Builder Floor in Uttam Nagar,35.0,2.0,540.0,1.0
2 BHK Independent Builder Floor in Uttam Nagar,36.0,2.0,540.0,1.0
3 BHK Independent Builder Floor in Paschim Vihar,36500000.0,3.0,1800.0,
3 BHK Flat in Rajpur,94.0,3.0,1300.0,
1 BHK Independent Builder Floor in Dwarka Mor,24.0,1.0,400.0,1.0
2 BHK Independent Builder Floor in Dwarka Mor,28.0,2.0,550.0,1.0
2 BHK Independent Builder Floor in Dwarka Mor,24.0,2.0,550.0,1.0
1 BHK Independent Builder Floor in Dwarka Mor,24.0,1.0,400.0,1.0
1 BHK Independent Builder Floor in Dwarka Mor,20.0,1.0,400.0,1.0
4 BHK Flat in Sector 6 Dwarka,38000000.0,4.0,2000.0,1.0
4 BHK Independent Builder Floor in Chhattarpur,14500000.0,4.0,1800.0,
4 BHK Independent Builder Floor in Chhattarpur,15100000.0,4.0,1800.0,
3 BHK Independent Builder Floor in Chhattarpur,85.0,3.0,1150.0,
4 BHK Independent Builder Floor in Chhattarpur,14600000.0,4.0,1800.0,
4 BHK Flat in Sector 11 Dwarka,38500000.0,4.0,2250.0,1.0
3 BHK Flat in Sector 22 Dwarka,25500000.0,3.0,1650.0,1.0
3 BHK Independent Builder Floor in Sector 24 Rohini,13500000.0,3.0,1100.0,1.0
3 BHK Flat in Sector 3 Dwarka,24500000.0,3.0,1700.0,1.0
2 BHK Independent Builder Floor in Palam,60.0,2.0,720.0,1.0
2 BHK Independent Builder Floor in Palam,59.0,2.0,750.0,1.0
2 BHK Independent Builder Floor in Palam,59.0,2.0,788.0,1.0
3 BHK Independent Builder Floor in Palam,85.0,3.0,1100.0,1.0
3 BHK Independent Builder Floor in Palam,84.0,3.0,1140.0,1.0
3 BHK Independent Builder Floor in Pochanpur Colony,99.0,3.0,1000.0,1.0
3 BHK Independent Builder Floor in Pochanpur Colony,99.0,3.0,1030.0,1.0
3 BHK Independent Builder Floor in Palam,79.0,3.0,1100.0,1.0
2 BHK Independent Builder Floor in Palam,58.0,2.0,800.0,1.0
2 BHK Independent Builder Floor in Palam,78.0,2.0,780.0,1.0
3 BHK Independent Builder Floor in Palam,79.8,3.0,1040.0,1.0
2 BHK Independent Builder Floor in Palam,59.88,2.0,776.0,1.0
