title,price,bhk,area_sqft,parking
3 BHK Flat in Sector 3 Dwarka,25000000.0,3.0,1800.0,1.0
3 BHK Flat in Sector 3 Dwarka,25000000.0,3.0,1700.0,1.0
Goyal Premium Housing,11000000.0,3.0,,
2 BHK Flat in Sector 3 Dwarka,20500000.0,2.0,1350.0,1.0
2 BHK Independent Builder Floor in Sector 11 Rohini,55.0,2.0,650.0,1.0
4 BHK Independent Builder Floor in Paschim Vihar,46500000.0,4.0,2250.0,
2 BHK Flat in Sector 10 Dwarka,20800000.0,2.0,1100.0,
3 BHK Independent Builder Floor in Paschim Vihar,25000000.0,3.0,1197.0,1.0
2 BHK Flat in Rajpur Khurd Village,46.9,2.0,680.0,
Dwarkadhish Apartment,10500000.0,4.0,,
4 BHK Independent Builder Floor in Greater Kailash I,130000000.0,4.0,4500.0,
3 BHK Flat in Sector 15 Rohini,14400000.0,3.0,1100.0,1.0
3 BHK Flat in Sector 6 Dwarka,27500000.0,3.0,1900.0,1.0
3 BHK Flat in Sector 6 Dwarka,27000000.0,3.0,1900.0,1.0
Guliya Manish Affordable Floor ll,16.0,4.0,,
4 BHK Flat in Burari,75.11,4.0,1400.0,
3 BHK Independent Builder Floor in Paschim Vihar,23500000.0,3.0,1196.0,1.0
Signature Smart Floors,25.0,3.0,,
The Luxury Floors,18.0,4.0,,
Jain Luxury Floors,20000000.0,4.0,,
Residential Plot in Sector 11 Rohini,21500000.0,,650.0,
3 BHK Independent Builder Floor in Sector 23 Rohini,11500000.0,3.0,1000.0,1.0
3 BHK Independent Builder Floor in Sector 11 Rohini,12500000.0,3.0,900.0,1.0
3.5 BHK Flat in Sector 4 Dwarka,32100000.0,5.0,2400.0,
4 BHK Flat in Bharat Vihar,14800000.0,4.0,1350.0,1.0
4 BHK Independent Builder Floor in Shakti Nagar,35000000.0,4.0,1800.0,1.0
Goyal Homes,55.0,3.0,,
Goyal Affordable,55.0,3.0,,
Goyal Housing Dwarka,11000000.0,3.0,,
3 BHK Flat in Razapur Khurd,38.0,3.0,700.0,
3 BHK Flat in Sector 4 Dwarka,27000000.0,3.0,1900.0,1.0
3 BHK Flat in Sector 4 Dwarka,25000000.0,3.0,1800.0,1.0
2 BHK Flat in Rajpur,46.0,2.0,720.0,
3 BHK Flat in Karampura,35000000.0,3.0,1528.0,
3 BHK Flat in Sector 2 Dwarka,27500000.0,3.0,1800.0,1.0
3 BHK Flat in Sector 11 Dwarka,26500000.0,3.0,1950.0,1.0
3 BHK Independent Builder Floor in Deenpur,65.2,3.0,1080.0,1.0
1 BHK Flat in Sector 18 Dwarka,11200000.000000002,1.0,600.0,
3 BHK Flat in Sector 22 Dwarka,22100000.0,3.0,1800.0,1.0
4 BHK Independent Builder Floor in Paschim Vihar,44000000.0,4.0,2250.0,
4 BHK Independent Builder Floor in Paschim Vihar,42500000.0,4.0,2250.0,
4 BHK Independent Builder Floor in Paschim Vihar,42500000.0,4.0,2000.0,
4 BHK Independent Builder Floor in Paschim Vihar,46000000.0,4.0,2250.0,
4 BHK Independent Builder Floor in Paschim Vihar,52500000.0,4.0,2808.0,
4 BHK Independent Builder Floor in Paschim Vihar,40000000.0,4.0,2800.0,
4 BHK Independent Builder Floor in Paschim Vihar,50000000.0,4.0,3000.0,
4 BHK Flat in Sector 4 Dwarka,34000000.0,4.0,2400.0,
3 BHK Flat in Sector 18 Dwarka,30000000.0,3.0,1800.0,1.0
D S Apartments,10500000.0,3.0,,
2 BHK Flat in Sector 9 Dwarka,21500000.0,2.0,1500.0,1.0
Shiv Luxury Homes,18.0,4.0,,
Goyal Luxury Apartment,90.0,4.0,,
DPX Metro Homes,26.0,3.0,,
Shubham Home Solutions Floors,12500000.0,5.0,,
2 BHK Independent Builder Floor in Shastri Nagar,72.0,2.0,675.0,1.0
3 BHK Flat in Burari,65.14,3.0,1250.0,
4 BHK Flat in Sector 10 Dwarka,34000000.0,4.0,2200.0,1.0
3 BHK Independent Builder Floor in Shastri Nagar,11100000.000000002,3.0,900.0,1.0
2 BHK Independent Builder Floor in Shastri Nagar,17000000.0,2.0,1500.0,1.0
Housing Shri Shyam Society,21.0,4.0,,
Housing Society,23.0,4.0,,
3 BHK Flat in Sector 2 Dwarka,27400000.000000004,3.0,2100.0,1.0
4 BHK Independent Builder Floor in Safdarjung Enclave,85000000.0,4.0,2000.0,1.0
3 BHK Independent Builder Floor in Sector 1 Dwarka,75.0,3.0,1080.0,
Shri Ram Apartment,17.5,4.0,,
