Address,BHK,Super Area(SQFT),Floor,Bathroom,Facing,Ownership,Transaction,Status,Price(Lakh),Price per SQFT,Garden/Park,Main Road,Pool,Price Level
Narendrapur Rajpur Sonarpur,3,1157,0,3,South - East,Freehold,Resale,Ready to Move,65,4492,1,1,0,Low
Rajarhat,3,900,5,2,Unknown,Unknown,Resale,Ready to Move,150,16666.6666666667,0,0,0,Low
Bhangar,1,451,2,1,Unknown,Unknown,Resale,Ready to Move,25,5543,0,0,0,Low
Sakher Bazar,2,950,2,2,East,Freehold,Resale,Unknown,53,5579,0,1,0,Low
Postal Park,2,1050,1,2,South,Freehold,Resale,Ready to Move,50,3840,0,1,0,Low
Metropolitan Co Operative Hous,2,800,4,2,North - East,Freehold,New Property,Ready to Move,100,10000,1,1,0,Low
New Town,2,1309,8,2,Unknown,Freehold,Resale,Ready to Move,130,9856,0,0,0,Low
Paikpara,3,1293,20,3,South -West,Freehold,Resale,Ready to Move,160,9895,0,1,1,Mid
Khardaha,3,938,10,2,North - East,Unknown,Resale,Ready to Move,56,4786,0,1,0,Low
Gariahat,3,1717,1,3,North,Freehold,Resale,Ready to Move,210,12231,1,0,0,Mid
Kestopur,2,700,2,2,South -West,Freehold,Resale,Ready to Move,32,4035,0,0,0,Low
New Alipore,3,2800,2,3,South -West,Freehold,Resale,Ready to Move,100,3030,0,1,0,Low
Nayabad,2,715,1,2,South - East,Freehold,Resale,Ready to Move,44,4927,0,1,0,Low
Garia,4,1550,3,2,Unknown,Unknown,Resale,Ready to Move,125,8065,0,0,0,Low
Kolkata,3,1500,1,2,South,Co-operative Society,Resale,Ready to Move,120,8000,1,1,0,Low
SN Roy Road,4,1380,3,2,West,Freehold,Resale,Ready to Move,55,3986,0,1,0,Low
New Town,3,690,5,2,South - East,Freehold,Resale,Ready to Move,65,7214,0,1,0,Low
Khardaha,3,970,10,2,South,Freehold,Resale,Ready to Move,45,4639,0,0,0,Low
Garia,2,923,4,2,South - East,Freehold,New Property,Ready to Move,71.5,6201,1,1,0,Low
Bally,4,1100,1,3,Unknown,Unknown,Resale,Ready to Move,30,2308,0,0,0,Low
Action Area 3,4,1555,13,3,South,Freehold,Resale,Ready to Move,200,12862,0,1,0,Mid
Haltu,2,600,1,2,West,Freehold,Resale,Ready to Move,45,6923,0,1,0,Low
Tollygunge Karunamoyee,2,638,2,1,South,Freehold,Resale,Ready to Move,30,4000,0,1,0,Low
Tollygunge,2,893,1,2,South,Freehold,Resale,Ready to Move,50,4762,0,1,0,Low
Tollygunge,2,1120,13,2,Unknown,Unknown,Resale,Ready to Move,112,10000,0,0,0,Low
Kolkata,2,750,3,2,South -West,Freehold,Resale,Ready to Move,29.5,2983,0,0,0,Low
Airport 2 Number Gate,3,780,3,2,South - East,Freehold,Resale,Ready to Move,35,3500,0,1,0,Low
Kankurgachi,3,1300,3,3,South - East,Freehold,Resale,Ready to Move,48,3200,1,1,0,Low
Howrah,3,800,1,2,South,Freehold,New Property,Ready to Move,28,2800,1,1,0,Low
Barrackpore,3,1156,7,2,North - West,Power Of Attorney,Resale,Ready to Move,51,4412,1,1,0,Low
Kolkata,2,920,3,2,Unknown,Unknown,Resale,Ready to Move,65,7065,0,0,0,Low
Shibrampur,3,850,4,2,North - East,Freehold,Resale,Ready to Move,56,5273,1,1,0,Low
Garia,2,1025,1,2,South,Freehold,Resale,Ready to Move,65,6341,1,0,0,Low
Ranikuthi,2,750,4,2,East,Freehold,Resale,Ready to Move,50,5330,0,1,0,Low
Alipore,3,1850,8,4,North,Freehold,Resale,Ready to Move,551,22958,0,1,0,High
Rani Rashmoni Bagan,2,550,2,2,Unknown,Unknown,Resale,Ready to Move,40,5517,0,0,0,Low
Dunlop,3,950,3,2,Unknown,Unknown,Resale,Ready to Move,41,4197,0,0,0,Low
Nagerbazar,2,680,4,2,East,Freehold,Resale,Ready to Move,38,5588,0,1,0,Low
Kaikhali,2,900,2,2,South - East,Freehold,Resale,Ready to Move,52,4727,1,0,0,Low
Maheshtala,2,544,14,2,South - East,Freehold,Resale,Ready to Move,30,4412,0,1,0,Low
South Dumdum,3,880,2,2,South - East,Unknown,Resale,Ready to Move,32,3337,0,1,0,Low
Eastern Metropolitan Bypass,4,3500,22,4,Unknown,Unknown,Resale,Ready to Move,520,14857,0,0,0,High
Ahalyanagar,3,900,2,2,South - East,Freehold,Resale,Ready to Move,75,5971,0,1,0,Low
Salkia,3,1565,7,2,East,Freehold,Resale,Ready to Move,102,6550,0,1,0,Low
Kaikhali,3,1021,1,2,South,Freehold,Resale,Ready to Move,72,5638,1,0,0,Low
Kolkata,2,960,2,2,Unknown,Unknown,Resale,Ready to Move,35,2917,0,0,0,Low
Action Area 2,1,440,2,1,South - East,Freehold,Resale,Ready to Move,22,4681,0,0,0,Low
Narayanpur,3,2300,4,4,Unknown,Unknown,Resale,Ready to Move,100,4348,1,0,1,Low
Shyamnagar,4,1800,0,3,East,Freehold,New Property,Ready to Move,285,14250,1,1,0,Mid
Bhangar,1,430,2,1,Unknown,Unknown,Resale,Ready to Move,15,3488,0,0,0,Low
Sreebhumi,4,2048,3,3,South,Freehold,Resale,Ready to Move,153,7500,1,0,1,Mid
Rajarhat,4,4450,15,3,Unknown,Unknown,Resale,Ready to Move,484,10876,0,0,0,High
Kolkata,2,690,3,1,South - East,Freehold,Resale,Ready to Move,16,2222,0,1,0,Low
Rajarhat,2,920,4,2,Unknown,Unknown,Resale,Ready to Move,35,3804,0,0,0,Low
Thakurpukur,3,1800,1,3,Unknown,Unknown,Resale,Ready to Move,151,8389,0,0,0,Mid
Howrah Domjur Bargachhia Road,2,801,2,2,South,Unknown,Resale,Ready to Move,40,4994,0,0,0,Low
Birati,2,765,3,2,Unknown,Unknown,Resale,Ready to Move,24,3137,0,0,0,Low
Dhakuria,4,1000,2,2,South - East,Freehold,Resale,Ready to Move,80,6154,0,0,0,Low
Gariahat,4,2700,2,4,South,Freehold,Resale,Ready to Move,650,24074,1,1,0,High
Chandannagar,2,600,1,2,West,Freehold,New Property,Ready to Move,30,5000,0,0,0,Low
New Garia,1,583,9,1,East,Freehold,Resale,Ready to Move,29,4603,1,0,0,Low
Sector 5 Salt Lake City,2,792,15,2,South,Power Of Attorney,Resale,Ready to Move,73,6728,0,1,0,Low
Gariahat,3,1780,,2,South - East,Freehold,Resale,Ready to Move,150,8426.96629213483,0,1,0,Low
Nabapally Barasat,3,1236,3,2,South,Freehold,Resale,Ready to Move,37,2994,1,0,0,Low
Ariadaha,2,654,4,2,East,Freehold,Resale,Ready to Move,36,4675,0,1,0,Low
Beleghata,3,1080,2,3,South - East,Freehold,Resale,Ready to Move,100,7407,1,1,0,Low
Dum Dum Park,2,750,3,2,East,Freehold,Resale,Ready to Move,42,4541,0,1,0,Low
Birati,3,1239,2,2,Unknown,Unknown,New Property,Ready to Move,43,3471,0,0,0,Low
Krishnapur Ma,2,733,0,2,South - East,Freehold,Resale,Ready to Move,28,3053,0,1,0,Low
Rajarhat,3,1006,5,2,South - East,Freehold,Resale,Ready to Move,80,6359,1,1,0,Low
Uttarpara Ch,2,630,2,2,East,Unknown,Resale,Ready to Move,30,4762,1,1,1,Low
Barasat,3,637,4,2,Unknown,Freehold,Resale,Ready to Move,40,4343,1,1,0,Low
Chandannagar,2,600,3,2,Unknown,Unknown,Resale,Ready to Move,30,4000,0,0,0,Low
Dum Dum Park,4,2160,1,4,Unknown,Freehold,Resale,Ready to Move,120,5556,0,0,0,Low
Subhash Nagar South Dumdum,3,1515,4,2,South - East,Freehold,Resale,Ready to Move,75,4950,0,1,0,Low
Kolkata,4,2000,2,2,South - East,Freehold,Resale,Ready to Move,125,5000,0,1,0,Low
Harish Mukherjee Road,3,1200,1,2,East,Freehold,Resale,Ready to Move,175,10938,1,1,0,Mid
Shakespeare Sarani,1,700,9,1,West,Co-operative Society,Resale,Ready to Move,100,12121,0,1,0,Low
Kolkata,2,650,4,1,Unknown,Unknown,Resale,Ready to Move,23,3538,0,0,0,Low
Rajarhat,2,880,4,2,Unknown,Freehold,Resale,Ready to Move,42,4773,0,0,0,Low
Beleghata,3,1305,5,3,North,Freehold,Resale,Ready to Move,190,10326,1,1,0,Mid
Rajarhat,3,1070,1,2,South -West,Freehold,Resale,Ready to Move,55,5140,0,1,0,Low
Beleghata,3,1546,8,2,South - East,Freehold,Resale,Ready to Move,145,9379,0,0,0,Low
Anandapur,2,483,2,2,South - East,Freehold,New Property,Unknown,49.3,7464,0,1,0,Low
Selimpur,2,585,2,2,South,Unknown,Resale,Ready to Move,34,4564,0,1,0,Low
Lake Market,4,1204,4,3,Unknown,Co-operative Society,Resale,Ready to Move,155,10690,0,1,0,Mid
Tegharia Baguiati,2,670,3,2,North - West,Freehold,Resale,Ready to Move,19.5,2621,0,1,0,Low
Phool Bagan Garia,2,1425,7,2,Unknown,Freehold,Resale,Ready to Move,155,10877,1,1,0,Mid
Dum Dum Park,3,1140,1,2,Unknown,Unknown,Resale,Ready to Move,60,5263,0,0,0,Low
Kolkata,2,710,10,2,Unknown,Unknown,Resale,Ready to Move,150,21127,0,0,0,Low
Ramlal Bazar,2,650,0,2,East,Freehold,Resale,Ready to Move,30,4615.38461538462,0,1,0,Low
Tollygunge,4,2000,5,4,East,Freehold,Resale,Ready to Move,215,10750,1,0,0,Mid
Belur Math,2,800,1,2,Unknown,Freehold,Resale,Ready to Move,26,3250,0,0,0,Low
Rajarhat,3,1500,1,2,South,Freehold,New Property,Ready to Move,100,6667,0,1,0,Low
Kestopur,2,989,4,2,South -West,Freehold,Resale,Ready to Move,40,4044,0,0,0,Low
Survey Park,3,1030,3,2,Unknown,Freehold,Resale,Ready to Move,90,8738,0,0,0,Low
Nagerbazar,3,1920,0,3,Unknown,Freehold,New Property,Ready to Move,200,10417,0,0,1,Mid
Kolkata,2,615,2,1,North - East,Freehold,Resale,Ready to Move,17,2764,0,0,0,Low
New Barrakpur,2,600,4,1,East,Freehold,Resale,Ready to Move,28,3810,0,1,0,Low
Dum Dum,1,438,3,1,Unknown,Freehold,Resale,Ready to Move,24,4075,0,1,0,Low
Rajarhat,2,888,2,2,North - West,Freehold,Resale,Ready to Move,32,3604,0,0,0,Low
Rajarhat,3,810,5,2,South - East,Co-operative Society,Resale,Ready to Move,92,9200,0,1,0,Low
Survey Park,2,1210,2,2,South - East,Freehold,Resale,Ready to Move,140,11570,1,1,0,Low
Lake View Road,3,1000,4,2,North,Freehold,Resale,Ready to Move,130,10400,0,1,0,Low
Unique Park Behala,3,1500,2,3,South,Freehold,Resale,Ready to Move,99.5,5528,0,1,0,Low
Block A Lake Town,2,950,1,2,Unknown,Co-operative Society,Resale,Ready to Move,58,6105.26315789474,1,0,0,Low
Boral,1,318,0,1,South -West,Freehold,Resale,Ready to Move,19.5,3061,0,1,0,Low
Dankuni,2,806,2,2,Unknown,Freehold,Resale,Ready to Move,23,2854,0,1,0,Low
Kolkata,2,650,2,2,South - East,Freehold,Resale,Ready to Move,38,5846.15384615385,0,1,0,Low
Rajarhat,3,1045,7,3,North - East,Freehold,Resale,Ready to Move,150,9609,1,0,1,Low
Selimpur,3,1000,3,2,South - East,Freehold,Resale,Ready to Move,75,6522,0,1,0,Low
Khardaha,3,980,8,2,Unknown,Unknown,Resale,Ready to Move,49,5000,0,0,0,Low
Dunlop,2,700,4,1,South -West,Freehold,Resale,Ready to Move,35,4730,0,1,0,Low
Bediapara North Dumdum,2,760,2,2,South,Freehold,Resale,Ready to Move,32,3368,0,1,0,Low
Action Area 3,3,1040,1,2,South - East,Freehold,Resale,Ready to Move,65,5000,1,0,0,Low
DJ Block Newtown,3,1596,1,2,South,Freehold,Resale,Ready to Move,120,7519,1,0,0,Low
Tollygunge Karunamoyee,2,760,2,2,South - East,Freehold,Resale,Ready to Move,50,5263,0,1,0,Low
Mali Bagan Kaikhali,2,1221,3,2,East,Co-operative Society,Resale,Ready to Move,45,3686,1,0,0,Low
Kasba,1,450,3,1,Unknown,Unknown,Resale,Ready to Move,13,2889,0,0,0,Low
Kolkata,3,1000,3,2,South,Freehold,Resale,Ready to Move,55,4542,0,0,0,Low
SIP Deshapriya Park Area,3,1600,2,3,South -West,Freehold,Resale,Ready to Move,190,11875,0,0,0,Mid
Subhasgram,2,614,3,2,South,Unknown,Resale,Ready to Move,30,3906,0,0,0,Low
Barrackpore Trunk Road,2,800,3,2,East,Freehold,Resale,Ready to Move,77,9625,0,1,0,Low
Salt Lake City,4,1100,1,2,South - East,Co-operative Society,Resale,Ready to Move,125,9615,1,1,0,Low
Maheshtala,3,1790,8,3,South -West,Freehold,Resale,Ready to Move,85,4749,1,0,0,Low
Rajpur,2,510,4,2,South -West,Freehold,Resale,Unknown,23.5,4608,0,0,1,Low
Tollygunge,3,2150,20,3,Unknown,Co-operative Society,Resale,Unknown,385,17907,0,1,0,Mid
Joka,3,962,2,2,North,Freehold,New Property,Ready to Move,40.5,4210,0,1,0,Low
Mukundapur,2,530,15,1,Unknown,Unknown,Resale,Unknown,110,20755,0,0,0,Low
Bhowanipore,3,940,3,3,Unknown,Unknown,Resale,Ready to Move,150,11228,0,0,0,Low
Naktala,2,780,2,2,Unknown,Unknown,Resale,Ready to Move,42,5384.61538461539,0,0,0,Low
Serampore,1,556,6,2,Unknown,Freehold,Resale,Ready to Move,27,4856,1,1,1,Low
Sarsuna,3,900,3,2,South - East,Freehold,Resale,Ready to Move,40,3571,0,1,0,Low
Rajarhat,2,950,4,2,Unknown,Unknown,Resale,Ready to Move,76,8000,0,0,0,Low
Howrah,2,500,11,2,North,Leasehold,Resale,Ready to Move,40,5333,0,0,0,Low
Narayanpur North 24 Parganas,2,990,4,2,North - East,Freehold,New Property,Ready to Move,65,5963,0,1,0,Low
Andul,3,850,1,3,Unknown,Freehold,Resale,Ready to Move,29.3,2997,0,1,0,Low
Nagerbazar,3,884,4,2,Unknown,Freehold,Resale,Ready to Move,53,5995,0,0,0,Low
Purbapara Kamdahari,2,800,1,2,South,Freehold,Resale,Ready to Move,40,3670,0,1,0,Low
Dum Dum,3,1143,2,2,North - East,Freehold,Resale,Ready to Move,49.5,4047,1,1,0,Low
Batanagar,2,666,1,2,South - East,Freehold,Resale,Ready to Move,20,2597,0,1,0,Low
Baishnabghata Patuli Township,2,550,3,2,South - East,Freehold,Resale,Ready to Move,38,5556,0,1,0,Low
Tollygunge,4,1400,0,3,Unknown,Unknown,Resale,Ready to Move,40,2857.14285714286,0,0,0,Low
Rajarhat,2,1108,1,2,Unknown,Freehold,Resale,Ready to Move,60,5415,1,0,0,Low
Joka,3,927,10,2,South - East,Freehold,Resale,Ready to Move,81,6667,1,1,0,Low
Dunlop,3,737,2,2,North,Freehold,Resale,Ready to Move,75,8701,1,0,1,Low
Shibrampur,3,1062,6,3,Unknown,Unknown,Resale,Ready to Move,50,4708,0,0,0,Low
Kasba,3,850,2,3,Unknown,Unknown,Resale,Ready to Move,90,10588,0,0,0,Low
Joka,2,656,8,2,South - East,Freehold,Resale,Ready to Move,67,7128,1,0,0,Low
Rajarhat,2,1108,1,2,Unknown,Unknown,Resale,Unknown,60,5415,0,0,0,Low
Howrah,2,850,3,2,Unknown,Unknown,Resale,Ready to Move,50,5882,0,0,0,Low
Action Area 1A,3,1132,8,3,North - East,Freehold,Resale,Ready to Move,155,8867,1,0,1,Mid
Maheshtala,3,1524,3,3,South - East,Freehold,Resale,Ready to Move,45,2953,1,1,1,Low
Action Area 3,3,1900,4,4,South - East,Freehold,Resale,Ready to Move,175,7940,1,1,0,Mid
Anandapur,3,1540,10,3,South,Freehold,Resale,Unknown,410,16078,0,1,0,High
Rajarhat,4,2542,2,3,East,Freehold,Resale,Ready to Move,225,8851,1,0,0,Mid
Eastern Metropolitan Bypass,3,1000,2,2,North - East,Freehold,Resale,Ready to Move,110,8703,1,1,1,Low
Action Area 1,3,1891,20,3,Unknown,Freehold,Resale,Ready to Move,345,18244,0,1,0,Mid
Block A Lake Town,2,587,,2,West,Freehold,Resale,Unknown,100,10152,0,1,0,Low
Rajarhat,4,2133,9,3,South - East,Freehold,Resale,Ready to Move,160,7501,0,0,1,Mid
Patuli,3,1361,7,2,South -West,Freehold,Resale,Ready to Move,100,7348,1,1,0,Low
New Town,3,1160,,3,Unknown,Unknown,New Property,Unknown,92.3,7957,0,0,0,Low
New Town,2,932,,2,Unknown,Unknown,New Property,Unknown,61.2,6567,0,0,0,Low
Southern Bypass,3,1163,,2,Unknown,Unknown,New Property,Unknown,46.5,4000,0,0,0,Low
Hazra Road,4,2800,3,2,North - West,Freehold,Resale,Ready to Move,300,8333,0,1,0,Mid
Bangur Avenue,3,1320,1,2,South,Freehold,New Property,Unknown,72.6,5500,0,0,0,Low
Airport Area,3,1050,0,2,North,Freehold,New Property,Ready to Move,39.9,3800,0,1,0,Low
Dum Dum,3,1000,1,2,North,Freehold,New Property,Unknown,44,4400,0,0,0,Low
Baghajat,3,1100,0,2,South - East,Freehold,New Property,Ready to Move,35,3182,0,1,0,Low
Kasba,2,800,2,2,South - East,Freehold,New Property,Ready to Move,57,5700,0,1,0,Low
Rajarhat,3,1036,,2,Unknown,Unknown,New Property,Unknown,46.6,4500,0,0,0,Low
Sonarpur,3,1550,,2,Unknown,Unknown,New Property,Unknown,70.7,4561,0,0,0,Low
Behala Chowrasta,2,899,,2,Unknown,Unknown,New Property,Ready to Move,40.4,4494,0,0,0,Low
New Town,3,1294,2,2,Unknown,Unknown,New Property,Unknown,100,7758,0,0,0,Low
Tollygunge,4,1639,,4,Unknown,Unknown,New Property,Unknown,298,15259,0,0,0,Mid
Barrackpore,2,740,,2,Unknown,Unknown,New Property,Unknown,28.1,3800,0,0,0,Low
Rajarhat,2,843,,2,Unknown,Unknown,New Property,Unknown,33,3915,0,0,0,Low
Dum Dum,3,1664,,3,Unknown,Unknown,New Property,Ready to Move,98.2,5900,0,0,0,Low
Jessore Road,3,686,,2,Unknown,Unknown,New Property,Unknown,102,7846,0,0,0,Low
Kestopur,3,1299,,2,Unknown,Unknown,New Property,Unknown,71.4,5500,0,0,0,Low
Bansdroni,2,545,,2,Unknown,Unknown,New Property,Unknown,30.6,4500,0,0,0,Low
Garia Station Road,1,538,,2,Unknown,Unknown,New Property,Unknown,24.2,4500,0,0,0,Low
Mukundapur,3,1304,,2,Unknown,Unknown,New Property,Ready to Move,76.9,5900,0,0,0,Low
Howrah,3,1269,,2,Unknown,Unknown,New Property,Unknown,50.8,4000,0,0,0,Low
Barasat,3,736,,3,Unknown,Unknown,New Property,Unknown,48.8,4046,0,0,0,Low
Sodepur,2,860,,2,Unknown,Unknown,New Property,Ready to Move,25.8,3000,0,0,0,Low
New Town,4,1537,,4,Unknown,Unknown,New Property,Unknown,161,6979,0,0,0,Mid
Entally,3,975,,2,Unknown,Unknown,New Property,Unknown,164,16820.5128205128,0,0,0,Mid
New Town,3,713,,2,Unknown,Unknown,New Property,Unknown,48.9,6858.34502103787,0,0,0,Low
Dum Dum,2,893,,2,Unknown,Unknown,New Property,Unknown,40.2,4500,0,0,0,Low
Parnasree Palli,3,1270,,2,Unknown,Unknown,New Property,Unknown,67.3,5300,0,0,0,Low
Tangra,4,2621,,4,Unknown,Unknown,New Property,Ready to Move,231,8813,0,0,0,Mid
North 24 Parganas,3,1220,,2,Unknown,Unknown,New Property,Ready to Move,40.6,3328,0,0,0,Low
New Town,3,1045,,3,Unknown,Unknown,New Property,Unknown,58.5,5600,0,0,0,Low
Rajarhat,2,609,,2,Unknown,Unknown,New Property,Unknown,53,7465,0,0,0,Low
Parnasree Palli,3,1011,,3,Unknown,Unknown,New Property,Unknown,99,6578,0,0,0,Low
Narendrapur Rajpur Sonarpur,3,1316,,2,Unknown,Unknown,New Property,Unknown,74,5623,0,0,0,Low
Madhyamgram,3,1259,,3,Unknown,Unknown,New Property,Unknown,56.7,4500,0,0,0,Low
Rajarhat,2,1032,,2,Unknown,Unknown,New Property,Unknown,54,5233,0,0,0,Low
New Town,2,888,,2,Unknown,Unknown,New Property,Unknown,46.6,5250,0,0,0,Low
Rajarhat,2,1197,,2,Unknown,Unknown,New Property,Unknown,63.6,5313,0,0,0,Low
Rajarhat,3,870,,2,Unknown,Unknown,New Property,Unknown,115,8302,0,0,0,Low
Dhakuria,1,467,2,1,South - East,Freehold,Resale,Ready to Move,20,4282.65524625268,0,0,0,Low
Noapara Sukanta Pally,2,795,4,2,North,Freehold,Resale,Ready to Move,40,5031,1,1,0,Low
Entally,2,1050,4,2,North,Freehold,Resale,Ready to Move,75,5769,0,1,0,Low
Rajarhat,3,950,2,3,North - East,Freehold,Resale,Ready to Move,155,16315.7894736842,1,0,1,Mid
Ramgarh Colony,2,624,2,2,East,Freehold,Resale,Ready to Move,40,5128,0,0,1,Low
Madhyamgram,2,894,5,2,North,Freehold,Resale,Ready to Move,57,6376,0,0,0,Low
Kolkata,2,650,4,1,South - East,Freehold,Resale,Ready to Move,27.5,4231,0,0,0,Low
Rajarhat,1,380,0,1,Unknown,Co-operative Society,Resale,Ready to Move,27,4655,1,1,0,Low
Kolkata,3,1344,5,2,Unknown,Unknown,Resale,Ready to Move,55,4092,0,0,0,Low
Rajarhat,2,1040,2,2,Unknown,Unknown,Resale,Ready to Move,49,4712,0,0,0,Low
Kestopur,1,550,0,1,Unknown,Unknown,Resale,Ready to Move,18,3273,0,0,0,Low
Netaji Nagar,2,602,4,1,East,Freehold,Resale,Ready to Move,23.5,3357,0,1,0,Low
Fartabad,2,545,1,2,East,Freehold,Resale,Ready to Move,42,5419,0,1,0,Low
P Majumder Road,2,720,1,2,Unknown,Unknown,Resale,Ready to Move,50,6944.44444444444,0,0,0,Low
Thakurpukur,2,750,0,2,Unknown,Freehold,Resale,Ready to Move,28,3733.33333333333,0,0,0,Low
Ganguly Bagan,2,680,0,2,South - East,Freehold,Resale,Ready to Move,64,7601,0,0,0,Low
Maheshtala,3,1482,8,2,Unknown,Freehold,Resale,Ready to Move,45,3036,1,1,1,Low
Nabapally Barasat,2,550,4,1,Unknown,Unknown,Resale,Ready to Move,10,1667,0,0,0,Low
Jadavpur,2,424,1,1,Unknown,Freehold,Resale,Ready to Move,24,4528,0,0,0,Low
New Town,3,1480,2,2,West,Freehold,New Property,Ready to Move,95,6419,0,1,0,Low
Belghoria,2,940,1,2,Unknown,Unknown,Resale,Ready to Move,50,5319,0,0,0,Low
Bakultala Behala,1,520,3,1,Unknown,Unknown,Resale,Ready to Move,13,2500,0,0,0,Low
Eastern Metropolitan Bypass,3,1167,1,3,Unknown,Unknown,Resale,Ready to Move,110,9426,0,0,0,Low
Ganguly Bagan,2,620,1,2,East,Freehold,Resale,Ready to Move,53,6235,0,0,0,Low
Sodepur,3,1250,3,2,Unknown,Unknown,Resale,Ready to Move,43,3440,0,0,0,Low
Eastern Metropolitan Bypass,3,1130,8,3,East,Freehold,Resale,Ready to Move,110,7309,0,1,0,Low
Tollygunge,3,1095,,2,Unknown,Unknown,New Property,Unknown,41.3,3769,0,0,0,Low
Barasat,2,504,11,2,Unknown,Unknown,New Property,Ready to Move,35.3,4599,0,0,0,Low
Rajarhat,4,2211,3,4,Unknown,Freehold,Resale,Ready to Move,185,8367,1,0,1,Mid
Bishnupur Rajarhat,2,739,1,2,South - East,Freehold,Resale,Ready to Move,50,5747,0,1,0,Low
Rajarhat Ma,2,800,3,2,South,Freehold,Resale,Ready to Move,65,6533,0,1,0,Low
Baranagar,2,525,1,1,North - East,Freehold,Resale,Ready to Move,30,3974,0,1,0,Low
New Town,1,550,8,1,East,Co-operative Society,Resale,Ready to Move,37,5736,1,1,0,Low
Maheshtala,2,850,5,2,Unknown,Unknown,Resale,Ready to Move,35,4118,0,0,0,Low
Naktala,2,720,3,2,Unknown,Freehold,Resale,Ready to Move,45,6250,0,1,0,Low
Nayabad,2,620,3,2,South -West,Freehold,Resale,Ready to Move,38,4878,1,0,0,Low
Madhyamgram,3,950,2,2,South - East,Freehold,Resale,Ready to Move,50,4735,1,0,0,Low
Rajarhat,2,1040,5,2,West,Freehold,Resale,Ready to Move,45,4327,1,0,0,Low
Tollygunge,4,2800,21,5,South - East,Leasehold,Resale,Ready to Move,497,17750,1,1,1,High
Rajarhat,3,890,8,2,East,Freehold,Resale,Ready to Move,125,9690,0,1,0,Low
Rajarhat,3,1200,10,2,South - East,Freehold,Resale,Ready to Move,119,9917,1,1,1,Low
New Town,2,957,15,2,North - East,Freehold,Resale,Ready to Move,86,8986,0,0,0,Low
Tollygunge,3,1650,15,3,South - East,Freehold,New Property,Ready to Move,175,10607,1,1,1,Mid
New Town,3,1264,12,2,East,Freehold,Resale,Ready to Move,105,8307,1,1,1,Low
Ballygunge,2,1200,4,2,South,Freehold,Resale,Ready to Move,150,10000,1,0,0,Low
Southern Avenue,2,1100,3,2,North - West,Freehold,Resale,Ready to Move,100,9091,0,0,0,Low
Bangur Avenue,3,1200,4,2,North,Freehold,Resale,Ready to Move,80,6667,0,0,0,Low
Behala,2,1015,2,2,East,Freehold,Resale,Ready to Move,26,2562,1,0,0,Low
Madurdaha,3,1050,2,2,North - West,Freehold,Resale,Ready to Move,56,5333,0,1,0,Low
Motijheel,3,1255,10,3,East,Freehold,Resale,Ready to Move,180,14343,1,0,0,Mid
Behala,2,650,0,2,Unknown,Unknown,Resale,Ready to Move,22,3385,0,0,0,Low
New Town,4,1499,8,4,South - East,Freehold,Resale,Ready to Move,300,16667,0,1,1,Mid
Baranagar,2,920,2,2,Unknown,Unknown,Resale,Ready to Move,60,5254,0,0,0,Low
Paikpara,2,625,4,2,East,Leasehold,Resale,Ready to Move,130,16250,1,1,0,Low
Kalikapur Haltu,2,1009,1,2,Unknown,Unknown,Resale,Ready to Move,55,5451,0,0,0,Low
Gariahat,2,1000,1,2,Unknown,Unknown,Resale,Ready to Move,120,9231,0,0,0,Low
Kolkata,2,1000,4,2,South - East,Freehold,Resale,Ready to Move,48,4000,0,1,0,Low
Bramhapur,2,500,2,1,South - East,Freehold,Resale,Ready to Move,20,4000,0,0,0,Low
Action Area 1,3,1150,4,2,Unknown,Unknown,Resale,Ready to Move,150,10000,0,0,0,Low
Kolkata,2,820,1,2,Unknown,Unknown,Resale,Ready to Move,33,3667,0,0,0,Low
Kolkata,2,580,4,1,South - East,Unknown,Resale,Ready to Move,24.9,4016,0,0,0,Low
Raigachi,2,712,1,2,West,Freehold,New Property,Ready to Move,57,6116,0,1,0,Low
Bediapara South Dumdum,2,526,3,2,South -West,Leasehold,Resale,Ready to Move,27,3852,0,0,0,Low
Netaji Nagar,2,790,3,1,Unknown,Unknown,Resale,Ready to Move,35,4375,0,0,0,Low
Kolkata,1,353,4,1,West,Freehold,Resale,Ready to Move,15,3191,0,1,0,Low
Kankurgachi,2,817,5,2,East,Freehold,Resale,Ready to Move,130,12733,1,0,1,Low
Rishra,3,800,1,2,Unknown,Unknown,Resale,Ready to Move,75,8484,0,0,0,Low
Alipore,4,2299,5,4,East,Freehold,Resale,Ready to Move,325,11364,1,1,0,Mid
Barasat,2,780,1,1,South,Freehold,Resale,Ready to Move,21.5,2756,0,1,0,Low
Kalyani,3,1050,3,2,East,Unknown,Resale,Ready to Move,36,2880,0,0,0,Low
Behala,3,1000,3,2,Unknown,Unknown,Resale,Ready to Move,45,4500,0,0,0,Low
Tollygunge,2,1250,1,2,South,Freehold,Resale,Ready to Move,90,7200,0,0,0,Low
Ripon Street,2,510,4,1,North,Freehold,Resale,Ready to Move,62,12157,0,1,0,Low
Rajarhat,2,1178,4,2,Unknown,Unknown,Resale,Ready to Move,85,7216,0,0,0,Low
Golaghata,2,870,2,2,South - East,Freehold,Other,Ready to Move,42,4421,0,1,0,Low
Kolkata,2,1031,2,2,Unknown,Unknown,Resale,Ready to Move,35,3395,0,0,0,Low
