Name,Price,Square,Super Area,Status,Bathroom,Floor,Overlooking,Facing,Car Parking,Balcony,Society,Ownership,Transaction
"3 BHK Flat  for Sale in  Action Area 1A, Kolkata",₹87 Lac ,"₹7,817 per sqft ",891 sqft,Ready to Move,2,3 out of 4,Main Road,North - West,1 Open,1,NCB Dreamville,Freehold,Resale
"3 BHK Flat  for Sale in  Rajarhat, Kolkata",₹1.75 Cr ,"₹8,282 per sqft ",2113 sqft,Ready to Move,4,9 out of 28,Main Road,South -West,1 Covered,2,DLF New Town Heights,Freehold,Resale
"2 BHK Flat  for Sale in  Survey Park, Kolkata",₹80 Lac ,"₹8,743 per sqft ",915 sqft,Ready to Move,2,2 out of 4,Main Road,,1 Covered,1,,Freehold,Resale
"2 BHK Flat  for Sale in  Rajarhat, Kolkata",₹30 Lac ,"₹4,878 per sqft ",615 sqft,Ready to Move,1,4 out of 4,Pool,,,1,16 Aana,,Resale
"2 BHK Flat  for Sale in  Bangur Avenue, Lake Town, Kolkata",₹40 Lac ,"₹5,333 per sqft ",625 sqft,Ready to Move,2,1 out of 3,,South -West,,2,Bangur Avenue,Freehold,Resale
"2 BHK Flat  for Sale in  New Garia, Garia, Kolkata",₹42 Lac ,"₹4,941 per sqft ",850 sqft,Ready to Move,2,1 out of 4,Garden/Park,East,1 Covered,1,,Freehold,Resale
"3 BHK Flat  for Sale in  Paschim Putiary, Kolkata",₹50 Lac ,"₹5,000 per sqft ",1000 sqft,Ready to Move,2,Ground out of 3,,,,,,,Resale
"2 BHK Flat  for Sale in  Baghajatin Colony, Kolkata",₹40 Lac ,"₹4,000 per sqft ",1000 sqft,Ready to Move,2,2 out of 3,,,,,,,Resale
"2 BHK Flat  for Sale in  Mahishabathan Road, Kolkata",₹1.35 Cr ,"₹13,261 per sqft ",815 sqft,Ready to Move,2,16 out of 18,Main Road,South - East,,1,Merlin 5th Avenue,Freehold,Resale
"2 BHK Flat  for Sale in  Joka, Kolkata",₹65 Lac ,"₹7,945 per sqft ",48 sqm,Ready to Move,2,6 out of 12,,South - East,1 Open,1,Godrej Seven,Leasehold,Resale
"3 BHK Flat  for Sale in  New Town, Kolkata",₹90 Lac ,"₹7,826 per sqft ",920 sqft,Ready to Move,2,2 out of 4,Main Road,South - East,1 Covered,1,,Co-operative Society,Resale
3 BHK Flat  for Sale in   Kolkata,₹41 Lac ,,1065 sqft,Ready to Move,2,1 out of 4,Main Road,South,,1,,,Resale
"2 BHK Flat  for Sale in  Prafulla Kanan, Kolkata",₹60 Lac ,"₹5,831 per sqft ",800 sqft,Ready to Move,2,1 out of 4,Garden/Park,East,,1,,Freehold,Resale
"2 BHK Flat  for Sale in  Durga Nagar, Kolkata",₹17 Lac ,"₹3,238 per sqft ",425 sqft,Ready to Move,1,2 out of 4,Main Road,East,,,,Freehold,Resale
"2 BHK Flat  for Sale in  Rajarhat, Kolkata",₹75 Lac ,"₹9,363 per sqft ",801 sqft,Ready to Move,2,11 out of 12,"Pool, Garden/Park, Main Road",North - East,,4,Realtech HIJIBIJI,Power Of Attorney,Resale
"2 BHK Flat  for Sale in  Narayantala, Kolkata",₹49 Lac ,"₹4,455 per sqft ",850 sqft,Ready to Move,2,2 out of 4,Main Road,North,,1,,Freehold,Resale
"2 BHK Flat  for Sale in  New Barrakpur, Kolkata",₹26 Lac ,"₹3,611 per sqft ",605 sqft,Ready to Move,1,Ground out of 4,Main Road,North - East,,,,Freehold,Resale
"5 BHK Flat  for Sale in  Rawdon Street, Kolkata",₹7 Cr ,"₹23,333 per sqft ",2550 sqft,Ready to Move,5,Ground out of 4,Garden/Park,South - East,"1 Covered,",,Rawdon Heights,Freehold,Resale
"2 BHK Flat  for Sale in  Madhyamgram, Kolkata",₹60 Lac ,"₹6,303 per sqft ",809 sqft,Ready to Move,2,1 out of 4,"Garden/Park, Main Road",South - East,1 Open,1,,Freehold,Resale
"3 BHK Flat  for Sale in  Noapara Sukanta Pally, Kolkata",₹1.30 Cr ,"₹6,027 per sqft ",2157 sqft,Ready to Move,3,4 out of 4,Garden/Park,South,,2,Realtech Titli,Freehold,Resale
"3 BHK Flat  for Sale in  Joka, Kolkata",₹78 Lac ,"₹6,420 per sqft ",1215 sqft,Ready to Move,2,6 out of 11,Garden/Park,South - East,,1,Godrej Seven,Power Of Attorney,Resale
"3 BHK Flat  for Sale in  Action Area 1B, Kolkata",₹90 Lac ,"₹7,200 per sqft ",850 sqft,Ready to Move,2,1 out of 5,"Garden/Park, Main Road",South - East,"1 Covered,",1,,Freehold,Resale
"2 BHK Flat  for Sale in  Baguiati, Kolkata",₹36 Lac ,"₹3,692 per sqft ",780 sqft,Ready to Move,1,1 out of 4,"Garden/Park, Main Road",South - East,,1,Monalisa Apartment,Freehold,Resale
"4 BHK Flat  for Sale in  Maniktala Main Road, Kolkata",₹1.95 Cr ,"₹11,143 per sqft ",1750 sqft,,3,2 out of 3,Main Road,South,1 Covered,2,,Freehold,Resale
" Studio Apartment  for Sale in  Rabindrapally Kestopur, Kolkata",₹8 Lac ,"₹4,000 per sqft ",200 sqft,Ready to Move,1,Ground out of 3,,,,,,,Resale
"3 BHK Flat  for Sale in  Mahatma Gandhi Road, Kolkata",₹90 Lac ,"₹6,813 per sqft ",1321 sqft,Ready to Move,3,1 out of 4,,South -West,,1,Eden Tolly Signature Phase 1,Freehold,Resale
"2 BHK Flat  for Sale in  Rabindranagar, Kolkata",₹36 Lac ,"₹4,143 per sqft ",869 sqft,Ready to Move,1,3 out of 3,,,,1,,Freehold,Resale
"3 BHK Flat  for Sale in  Konnagar, Kolkata",₹70 Lac ,"₹3,621 per sqft ",1933 sqft,Ready to Move,2,1 out of 4,Main Road,North,1 Covered,2,,Freehold,Resale
"2 BHK Flat  for Sale in  Ward Number 113, Kolkata",₹40 Lac ,"₹4,211 per sqft ",950 sqft,Ready to Move,1,Ground out of 3,,East,,,,Co-operative Society,Resale
"3 BHK Flat  for Sale in  Bhadrakali, Kolkata",₹85 Lac ,"₹6,080 per sqft ",1090 sqft,Ready to Move,2,11 out of 11,"Garden/Park, Pool",South - East,165 Open,1,Unimark Riviera,Freehold,Resale
"2 BHK Flat  for Sale in  Usha Park, Bansdroni, Kolkata",₹32 Lac ,"₹3,951 per sqft ",605 sqft,Ready to Move,2,3 out of 3,,North,,1,Prajakta,,Resale
"4 BHK Flat  for Sale in  Dhakuria, Kolkata",₹1 Cr ,"₹6,667 per sqft ",1500 sqft,Ready to Move,2,3 out of 4,,,,,,,Resale
2 BHK Flat  for Sale in   Kolkata,₹52 Lac ,"₹5,417 per sqft ",960 sqft,Ready to Move,2,1 out of 4,"Garden/Park, Main Road",South - East,,1,,Freehold,Resale
"2 BHK Flat  for Sale in  Nagerbazar, Kolkata",₹32 Lac ,"₹4,000 per sqft ",800 sqft,Ready to Move,2,1 out of 4,,North - West,,1,Satyam Shivam Sundaram Housing Complex,Freehold,Resale
"4 BHK Flat  for Sale in  Howrah, Kolkata",₹1.15 Cr ,"₹9,583 per sqft ",1200 sqft,Ready to Move,3,7 out of 10,,South,,1,Panchsheel Apartment,Leasehold,Resale
"2 BHK Flat  for Sale in  Rajarhat, Kolkata",₹42 Lac ,"₹4,789 per sqft ",702 sqft,Ready to Move,2,4 out of 5,Main Road,South - East,,1,Realtech Nirman Basanta,Freehold,Resale
3 BHK Flat  for Sale in   Kolkata,₹1.55 Cr ,"₹13,839 per sqft ",1120 sqft,Ready to Move,3,4 out of 4,,,,,,,Resale
"3 BHK Flat  for Sale in  Kasba, Kolkata",₹1.10 Cr ,"₹7,333 per sqft ",1375 sqft,Ready to Move,2,3 out of 4,Main Road,,,,,Freehold,Resale
"2 BHK Flat  for Sale in  Sakher Bazar, Purba Barisha, Kolkata",₹25 Lac ,"₹3,497 per sqft ",500 sqft,Ready to Move,2,1 out of 4,Main Road,,,1,,Freehold,Resale
"3 BHK Flat  for Sale in  Behala, Kolkata",₹65 Lac ,"₹5,390 per sqft ",928 sqft,Ready to Move,2,2 out of 4,Main Road,South - East,,2,Merlin Vasundhara,Freehold,Resale
"3 BHK Flat  for Sale in  Nayabad, Kolkata",₹55 Lac ,"₹4,400 per sqft ",1000 sqft,Ready to Move,2,2 out of 4,Main Road,North,,1,Nayabad Lakeview Apartment,Freehold,Resale
"4 BHK Flat  for Sale in  Basanta Lal Saha Road, Kolkata",₹3 Cr ,"₹13,630 per sqft ",1774 sqft,Ready to Move,4,10 out of 19,Garden/Park,South - East,,2,Sugam Morya,Freehold,New Property
"3 BHK Flat  for Sale in  Dum Dum Cantonment, Kolkata",₹33 Lac ,"₹4,024 per sqft ",650 sqft,Ready to Move,2,4 out of 5,"Garden/Park, Main Road",South,,1,,Freehold,New Property
"2 BHK Flat  for Sale in  New Garia, Garia, Kolkata",₹36 Lac ,"₹4,072 per sqft ",707 sqft,Ready to Move,2,3 out of 5,"Garden/Park, Main Road",South,,1,Puspanjali,Co-operative Society,Resale
"3 BHK Flat  for Sale in  Dover Lane, Kolkata",₹1.40 Cr ,"₹10,972 per sqft ",1140 sqft,Ready to Move,2,4 out of 4,Main Road,South - East,1 Covered,2,,Freehold,Resale
"2 BHK Flat  for Sale in  Grand Trunk Road, Kolkata",₹50 Lac ,"₹3,030 per sqft ",1450 sqft,Ready to Move,2,3 out of 5,Main Road,South - East,,1,Hooghly Residency,Freehold,Resale
"3 BHK Flat  for Sale in  Sanjib Pally, Kolkata",₹71.5 Lac ,"₹5,500 per sqft ",900 sqft,Ready to Move,2,3 out of 5,Garden/Park,South - East,1 Covered,2,Mangalam Park,Freehold,New Property
"2 BHK Flat  for Sale in  Diamond Harbour Road, Kolkata",₹40 Lac ,"₹4,878 per sqft ",656 sqft,Ready to Move,2,2 out of 14,Main Road,East,,2,Jalan NVR Pride,Freehold,Resale
"2 BHK Flat  for Sale in  Chinar Park, Rajarhat, Kolkata",₹42 Lac ,"₹4,651 per sqft ",620 sqft,Ready to Move,2,2 out of 4,,,,1,,,Resale
"3 BHK Flat  for Sale in  Behala Chowrasta, Kolkata",₹71.4 Lac ,"₹5,101 per sqft ",1100 sqft,Ready to Move,2,4 out of 4,"Garden/Park, Main Road",South - East,,1,Kanak Apartment,Co-operative Society,Resale
"2 BHK Flat  for Sale in  Joka, Kolkata",₹56 Lac ,"₹6,285 per sqft ",891 sqft,Ready to Move,2,12 out of 14,"Garden/Park, Main Road",South - East,,2,Godrej Seven,Freehold,Resale
"2 BHK Flat  for Sale in  Chinar Park, Rajarhat, Kolkata",₹85 Lac ,"₹12,126 per sqft ",701 sqft,Ready to Move,2,9 out of 10,"Garden/Park, Pool, Main Road",South - East,1 Covered,1,Loharuka Urban Greens Phase 2,Freehold,Resale
"2 BHK Flat  for Sale in  Baguiati, Kolkata",₹35 Lac ,"₹4,375 per sqft ",700 sqft,Ready to Move,1,2 out of 4,Main Road,South - East,,1,Jaas Parimal Apartment,,Resale
"3 BHK Flat  for Sale in  Action Area 3, Kolkata",₹50 Lac ,"₹5,556 per sqft ",900 sqft,Ready to Move,2,3 out of 14,,North - East,,1,,,Resale
"2 BHK Flat  for Sale in  Elgin, Kolkata",₹1.19 Cr ,"₹9,528 per sqft ",1000 sqft,Ready to Move,2,1 out of 10,Main Road,South - East,,1,Embassy Apartment,Freehold,Resale
"2 BHK Flat  for Sale in  Math Bagan, Kolkata",₹40 Lac ,"₹4,938 per sqft ",570 sqft,Ready to Move,2,9 out of 18,Pool,East,1 Covered,1,Godrej Prakriti Phase 4,Freehold,Resale
"4 BHK Flat  for Sale in  New Alipore, Kolkata",₹3.65 Cr ,"₹12,807 per sqft ",1913 sqft,Ready to Move,4,2 out of 11,"Garden/Park, Pool",North,2 Covered,3,PS Navyom,Freehold,Resale
"2 BHK Flat  for Sale in  Paddapukur, Bhawanipur, Kolkata",₹1.20 Cr ,"₹10,909 per sqft ",880 sqft,Ready to Move,2,4 out of 4,Main Road,South - East,,1,KIC Raj Laxmi,Freehold,Resale
"3 BHK Flat  for Sale in  Rajarhat, Kolkata",₹45 Lac ,"₹4,839 per sqft ",744 sqft,Ready to Move,2,4 out of 4,"Garden/Park, Main Road",South - East,,1,Ambey Niketan,Freehold,Resale
"2 BHK Flat  for Sale in  Kasba, Kolkata",₹60 Lac ,"₹5,469 per sqft ",932 sqft,Ready to Move,2,2 out of 2,,South - East,"1 Covered,",1,,Freehold,Resale
"2 BHK Flat  for Sale in  Joka, Kolkata",₹55 Lac ,"₹4,614 per sqft ",800 sqft,Ready to Move,2,2 out of 4,Main Road,South,1 Covered,2,Riddhi Siddhi Garden,Freehold,Resale
"3 BHK Flat  for Sale in  Action Area 1, Kolkata",₹1.35 Cr ,"₹8,637 per sqft ",1006 sqft,Ready to Move,3,5 out of 12,,South - East,,2,Shrachi Greenwood Nest,Freehold,Resale
"3 BHK Flat  for Sale in  Ramgarh Garia, Kolkata",₹40 Lac ,"₹3,810 per sqft ",1050 sqft,Ready to Move,2,3 out of 4,,,,,,,Resale
"3 BHK Flat  for Sale in  South Dumdum, Kolkata",₹65 Lac ,"₹4,571 per sqft ",1200 sqft,Ready to Move,2,4 out of 5,"Garden/Park, Main Road",South - East,,1,,Freehold,Resale
"2 BHK Flat  for Sale in  Kanchrapara, Kolkata",₹22 Lac ,"₹2,895 per sqft ",760 sqft,Ready to Move,2,3 out of 4,,South,,1,,Freehold,Resale
"2 BHK Flat  for Sale in  Unique Park Behala, Kolkata",₹27 Lac ,"₹2,919 per sqft ",900 sqft,Ready to Move,2,1 out of 3,"Garden/Park, Main Road",South,,2,,Freehold,Resale
"3 BHK Flat  for Sale in  Baghajatin Road, Kolkata",₹59 Lac ,"₹5,301 per sqft ",891 sqft,Ready to Move,2,2 out of 3,Main Road,South -West,,1,,Freehold,Resale
"4 BHK Flat  for Sale in  Nagerbazar, Kolkata",₹70 Lac ,"₹4,667 per sqft ",1305 sqft,Ready to Move,2,5 out of 5,Main Road,South - East,,1,,Freehold,Resale
"2 BHK Flat  for Sale in  Fartabad, Garia, Kolkata",₹32 Lac ,"₹4,414 per sqft ",580 sqft,Ready to Move,2,1 out of 3,Main Road,North - West,,1,,Freehold,Resale
"3 BHK Flat  for Sale in  Rajpur Sonarpur, Kolkata",₹75 Lac ,"₹5,357 per sqft ",1392 sqft,Ready to Move,2,3 out of 4,Garden/Park,South -West,,2,RDB Regent Sonarpur Phase I,Freehold,Resale
"3 BHK Flat  for Sale in  Patuli, Kolkata",₹1.25 Cr ,"₹9,936 per sqft ",863 sqft,,2,11 out of 24,"Garden/Park, Pool, Main Road",South - East,,2,Unimark Altamount,,Resale
"3 BHK Flat  for Sale in  Ballygunge Park Road, Kolkata",₹7 Cr ,"₹21,916 per sqft ",2555 sqft,Ready to Move,3,1 out of 7,Main Road,South - East,"1 Covered,",1,,Freehold,Resale
"3 BHK Flat  for Sale in  Haridevpur, Paschim Putiary, Kolkata",₹45 Lac ,"₹2,903 per sqft ",1318 sqft,Ready to Move,2,3 out of 3,"Garden/Park, Main Road",South -West,,,Swastik Apartment,Freehold,Resale
" Apartment  for Sale in  Sonarpur, Kolkata",₹65 Lac ,"₹4,339 per sqft ",1498 sqft,,,,,,1 Covered,,Baron Enclave,Freehold,Resale
"2 BHK Flat  for Sale in  Konnagar, Kolkata",₹16 Lac ,"₹2,353 per sqft ",560 sqft,Ready to Move,1,1 out of 4,Garden/Park,South - East,"1 Covered,",1,,Co-operative Society,Resale
"2 BHK Flat  for Sale in  Rathtala, Kolkata",₹46 Lac ,"₹5,913 per sqft ",778 sqft,Ready to Move,2,3 out of 6,"Garden/Park, Main Road",South - East,,1,,Freehold,Resale
"2 BHK Flat  for Sale in  Uttarpara Chinsurah, Kolkata",₹41 Lac ,"₹4,958 per sqft ",827 sqft,Ready to Move,2,13 out of 15,Pool,South,1 Covered,,Shriram Grand City,Freehold,Resale
"3 BHK Flat  for Sale in  Kanchrapara M, Kolkata",₹42 Lac ,"₹3,944 per sqft ",850 sqft,Ready to Move,2,4 out of 4,,,,1,,,Resale
"2 BHK Flat  for Sale in  Rajendra Prasad Colony, Kolkata",₹65 Lac ,"₹7,222 per sqft ",700 sqft,Ready to Move,2,1 out of 3,Main Road,South - East,1 Open,1,,Freehold,Resale
"3 BHK Flat  for Sale in  Buroshibtalla, Behala, Kolkata",₹1.10 Cr ,"₹5,238 per sqft ",2100 sqft,Ready to Move,3,1 out of 6,,,,,,,Resale
2 BHK Flat  for Sale in   Kolkata,₹1.10 Cr ,"₹13,415 per sqft ",820 sqft,Ready to Move,2,4 out of 5,Main Road,,,1,,Co-operative Society,Resale
"2 BHK Flat  for Sale in  Arabinda Nagar Thakurpukur, Kolkata",₹22 Lac ,"₹2,444 per sqft ",760 sqft,Ready to Move,1,2 out of 3,Main Road,East,1 Covered,1,,Freehold,Resale
"3 BHK Flat  for Sale in  Paikpara, Kolkata",₹95 Lac ,"₹7,956 per sqft ",860 sqft,Ready to Move,2,4 out of 4,Main Road,North,1 Covered,1,,Freehold,Resale
"3 BHK Flat  for Sale in  Daspara Mukundapur, Kolkata",₹50 Lac ,"₹3,333 per sqft ",1200 sqft,Ready to Move,3,4 out of 4,Main Road,South - East,,2,Bypass Valley Abasan,Freehold,Resale
"3 BHK Flat  for Sale in  New Town, Kolkata",₹1.41 Cr ,"₹9,246 per sqft ",1525 sqft,Ready to Move,3,27 out of 27,"Pool, Garden/Park",North,,1,Sureka Elita Garden Vista,Freehold,Resale
"2 BHK Flat  for Sale in  Eastern Metropolitan Bypass, Kolkata",₹95 Lac ,"₹11,072 per sqft ",564 sqft,Ready to Move,2,22 out of 29,Main Road,South - East,1 Covered,1,Bengal Peerless Avidipta Phase 2,Freehold,Resale
"3 BHK Flat  for Sale in  New Town, Kolkata",₹2.10 Cr ,"₹10,000 per sqft ",1500 sqft,Ready to Move,4,1 out of 4,,,,1,Sanjeeva Orchard,,Resale
"2 BHK Flat  for Sale in  Garia, Kolkata",₹69 Lac ,"₹6,900 per sqft ",800 sqft,Ready to Move,2,4 out of 4,"Garden/Park, Main Road",South - East,1 Covered,1,,Freehold,Resale
"3 BHK Flat  for Sale in  Muchipara, Kolkata",₹1.20 Cr ,"₹7,273 per sqft ",1200 sqft,Ready to Move,3,3 out of 4,"Garden/Park, Main Road",South - East,,1,,Freehold,Resale
"2 BHK Flat  for Sale in  Uttarpara Chinsurah, Kolkata",₹48 Lac ,"₹5,804 per sqft ",827 sqft,Ready to Move,2,3 out of 14,,,,2,Shriram Grand One,,Resale
"3 BHK Flat  for Sale in  Ramchandrapur Narendrapur, Kolkata",₹45 Lac ,"₹4,151 per sqft ",1084 sqft,Ready to Move,2,4 out of 4,Main Road,East,,1,,,Resale
"2 BHK Flat  for Sale in  Narendrapur Rajpur Sonarpur, Kolkata",₹58 Lac ,"₹5,598 per sqft ",1036 sqft,Ready to Move,1,6 out of 19,,,,,Rajwada Royal Gardens,,Resale
"3 BHK Flat  for Sale in  Murari Pukur, Ultadanga, Kolkata",₹1.60 Cr ,"₹12,698 per sqft ",1008 sqft,Ready to Move,2,3 out of 12,Main Road,South - East,,,Merlin Warden Lake View,Freehold,Resale
"2 BHK Flat  for Sale in  Survey Park, Kolkata",₹52 Lac ,"₹5,991 per sqft ",680 sqft,Ready to Move,2,2 out of 3,Main Road,South - East,,1,,Freehold,Resale
"3 BHK Flat  for Sale in  Santoshpur, Kolkata",₹86 Lac ,"₹6,853 per sqft ",1255 sqft,Ready to Move,2,4 out of 4,,,1 Covered,,,,Resale
2 BHK Flat  for Sale in   Kolkata,₹22 Lac ,,750 sqft,Ready to Move,2,1 out of 3,,,,1,,,Resale
"2 BHK Flat  for Sale in  Patuli, Kolkata",₹95 Lac ,"₹10,983 per sqft ",582 sqft,Ready to Move,2,15 out of 18,Garden/Park,,,1,Unimark Lakewood Estate,Freehold,Resale
"3 BHK Flat  for Sale in  Dhali Para Paschim Putiary, Kolkata",₹56.5 Lac ,"₹5,335 per sqft ",1059 sqft,Ready to Move,2,1 out of 5,"Garden/Park, Pool",East,,2,Larica Tolly,,Resale
"4 BHK Flat  for Sale in  Action Area 2B, Kolkata",₹1.45 Cr ,"₹6,502 per sqft ",1700 sqft,Ready to Move,4,9 out of 10,Garden/Park,West,,2,Sunny Fort,Freehold,Resale
"2 BHK Flat  for Sale in  Rajarhat Main Road, Kolkata",₹64 Lac ,"₹6,497 per sqft ",788 sqft,Ready to Move,2,2 out of 8,Garden/Park,South - East,,1,Siddha Pine Woods,Freehold,Resale
"2 BHK Flat  for Sale in  Bandel Chinsurah, Kolkata",₹22 Lac ,"₹2,095 per sqft ",920 sqft,Ready to Move,,1 out of 2,,,,1,,,Resale
"2 BHK Flat  for Sale in  Dhakuria, Kolkata",₹49 Lac ,"₹3,062 per sqft ",1200 sqft,Ready to Move,2,3 out of 3,Main Road,North,,1,,Freehold,Resale
"2 BHK Flat  for Sale in  Purbachal Haltu, Kolkata",₹55 Lac ,"₹6,111 per sqft ",750 sqft,Ready to Move,2,2 out of 3,,South,,2,,Freehold,Resale
"2 BHK Flat  for Sale in  Maheshtala, Kolkata",₹32 Lac ,"₹4,494 per sqft ",464 sqft,Ready to Move,2,5 out of 17,,,,1,Hiland Greens,,Resale
"3 BHK Flat  for Sale in  Alipore, Kolkata",₹3 Cr ,"₹12,500 per sqft ",2400 sqft,Ready to Move,3,1 out of 1,,,,,,,Resale
"3 BHK Flat  for Sale in  Shibrampur, Shibrampur Mauza, Kolkata",₹55 Lac ,"₹4,955 per sqft ",1110 sqft,Ready to Move,2,1 out of 11,,East,,2,Greenfield City,,Resale
"2 BHK Flat  for Sale in  Chandannagar, Hooghly-Chinsurah, Kolkata",₹47 Lac ,"₹5,222 per sqft ",800 sqft,Ready to Move,2,3 out of 4,Main Road,South -West,,1,,Freehold,Resale
"4 BHK Flat  for Sale in  Action Area 2, Kolkata",₹2.50 Cr ,"₹8,065 per sqft ",3110 sqft,Ready to Move,4,7 out of 12,"Garden/Park, Main Road",South - East,1 Covered,3,Anahita,Freehold,Resale
"2 BHK Flat  for Sale in  Barrackpore, Kolkata",₹29.5 Lac ,"₹3,933 per sqft ",680 sqft,Ready to Move,2,3 out of 3,"Garden/Park, Main Road",South - East,1 Open,1,Own Property,Freehold,Resale
"3 BHK Flat  for Sale in  Sarangpur, Kolkata",₹1.40 Cr ,"₹8,600 per sqft ",1150 sqft,Ready to Move,3,15 out of 15,Garden/Park,South - East,1 Open,3,Unitech Fresco,Freehold,Resale
"2 BHK Flat  for Sale in  Rajarhat, Kolkata",₹63.5 Lac ,"₹7,763 per sqft ",654 sqft,Ready to Move,2,2 out of 12,Garden/Park,South -West,,1,Siddha Galaxia Phase I,Freehold,Resale
"3 BHK Flat  for Sale in  Maheshtala, Kolkata",₹1.20 Cr ,"₹6,000 per sqft ",1765 sqft,Ready to Move,3,5 out of 9,,,,2,HILAND GOLF,,Resale
"2 BHK Flat  for Sale in  Kalikapur Haltu, Kolkata",₹77 Lac ,"₹10,969 per sqft ",550 sqft,Ready to Move,2,1 out of 9,,,,1,Green Wood Nook,,Resale
2 BHK Flat  for Sale in   Kolkata,₹19.5 Lac ,"₹3,916 per sqft ",498 sqft,Ready to Move,1,3 out of 4,,,,,,,Resale
"4 BHK Flat  for Sale in  Block A Lake Town, Kolkata",₹1.40 Cr ,"₹6,880 per sqft ",1700 sqft,Ready to Move,3,2 out of 4,Main Road,South - East,,3,,Freehold,Resale
"2 BHK Flat  for Sale in  Jessore Road, Kolkata",₹88 Lac ,"₹7,652 per sqft ",767 sqft,Ready to Move,2,8 out of 14,"Garden/Park, Pool",South - East,,2,Emami City,Freehold,Resale
"2 BHK Flat  for Sale in  New Garia, Garia, Kolkata",₹45 Lac ,"₹6,338 per sqft ",710 sqft,Ready to Move,2,4 out of 5,,,,,,,Resale
"2 BHK Flat  for Sale in  Garia Bazaar, Kolkata",₹28 Lac ,"₹4,000 per sqft ",625 sqft,Ready to Move,1,1 out of 4,,South - East,,1,,Freehold,Resale
3 BHK Flat  for Sale in   Kolkata,₹82 Lac ,"₹4,881 per sqft ",1680 sqft,Ready to Move,3,5 out of 5,,,,,,,Resale
"3 BHK Flat  for Sale in  Garia, Kolkata",₹40.5 Lac ,"₹3,695 per sqft ",850 sqft,Ready to Move,2,Ground out of 4,Main Road,South,1 Open,2,,Freehold,Resale
"3 BHK Flat  for Sale in  Tollygunge, Kolkata",₹60 Lac ,"₹5,106 per sqft ",975 sqft,Ready to Move,2,4 out of 4,Garden/Park,North,,1,Dream Villa,Freehold,Resale
"3 BHK Flat  for Sale in  Garia, Kolkata",₹50 Lac ,"₹4,167 per sqft ",1200 sqft,Ready to Move,2,4 out of 4,Main Road,East,,2,,Power Of Attorney,Resale
"2 BHK Flat  for Sale in  Subhasgram, Kolkata",₹28 Lac ,"₹3,279 per sqft ",712 sqft,Ready to Move,2,1 out of 3,,,,1,,,Resale
"2 BHK Flat  for Sale in  Sukant Nagar Sector 4 Salt Lake, Kolkata",₹20 Lac ,"₹3,636 per sqft ",450 sqft,Ready to Move,1,1 out of 4,Main Road,South - East,"1 Covered,",,,Freehold,Resale
"3 BHK Flat  for Sale in  Santoshpur, Kolkata",₹45 Lac ,"₹3,750 per sqft ",910 sqft,Ready to Move,2,3 out of 3,Main Road,South - East,,1,,Co-operative Society,New Property
3 BHK Flat  for Sale in   Kolkata,₹86.7 Lac ,"₹7,225 per sqft ",1200 sqft,Ready to Move,2,2 out of 4,Main Road,East,"1 Covered,",,,Freehold,Resale
"2 BHK Flat  for Sale in  Baranagar, Kolkata",₹33 Lac ,"₹4,400 per sqft ",637 sqft,Ready to Move,1,2 out of 3,"Garden/Park, Main Road",South - East,,1,,Freehold,Resale
"3 BHK Flat  for Sale in  Maheshtala, Kolkata",₹60 Lac ,"₹3,937 per sqft ",1524 sqft,Ready to Move,3,3 out of 15,Garden/Park,South,,1,Eden City Maheshtala,Freehold,Resale
2 BHK Flat  for Sale in   Kolkata,₹19 Lac ,,832 sqft,Ready to Move,2,3 out of 4,Pool,South - East,,1,,Freehold,Resale
"3 BHK Flat  for Sale in  Purbachal Haltu, Kolkata",₹55 Lac ,"₹5,000 per sqft ",1000 sqft,Ready to Move,2,Ground out of 3,Garden/Park,South - East,,1,,Freehold,Resale
"2 BHK Flat  for Sale in  Dhakuria, Kolkata",₹35 Lac ,"₹4,545 per sqft ",770 sqft,Ready to Move,1,1 out of 2,,,,,,,Resale
"4 BHK Flat  for Sale in  Howrah, Kolkata",₹38 Lac ,"₹2,823 per sqft ",1346 sqft,Ready to Move,4,2 out of 3,Main Road,North,,2,,Freehold,Resale
"3 BHK Flat  for Sale in  Rajarhat, Kolkata",₹1.50 Cr ,"₹7,673 per sqft ",1564 sqft,Ready to Move,3,23 out of 40,Main Road,South - East,2 Covered,1,Sureka Merlin Elita Garden Vista Phase 2,Freehold,Resale
"2 BHK Flat  for Sale in  New Town, Kolkata",₹1.40 Cr ,"₹12,727 per sqft ",784 sqft,Ready to Move,2,2 out of 19,Garden/Park,North - East,1 Covered,1,PS ONE10,Freehold,Resale
"2 BHK Flat  for Sale in  Tollygunge, Kolkata",₹29 Lac ,"₹3,580 per sqft ",689 sqft,Ready to Move,2,2 out of 3,Main Road,East,1 Open,1,Madhuri Apartment,Freehold,Resale
"2 BHK Flat  for Sale in  Desh Bandhu Nagar Baguiati, Kolkata",₹50.5 Lac ,"₹4,810 per sqft ",850 sqft,Ready to Move,1,4 out of 4,Garden/Park,East,,1,,Freehold,Resale
"2 BHK Flat  for Sale in  Howrah, Kolkata",₹50 Lac ,"₹4,401 per sqft ",900 sqft,Ready to Move,2,20 out of 20,"Garden/Park, Pool, Main Road",North - West,1 Open,1,Shapoorji Pallonji Joyville Howrah Tower A1 Pinnacle,Freehold,Resale
