Name,Price,Square,Super Area,Status,Bathroom,Floor,Overlooking,Facing,Car Parking,Balcony,Society,Ownership,Transaction
"2 BHK Flat  for Sale in  Boral Main Road, Kolkata",₹35 Lac ,"₹3,684 per sqft ",808 sqft,Ready to Move,2,1 out of 3,"Garden/Park, Main Road",South - East,,1,,Freehold,Resale
"2 BHK Flat  for Sale in  Narendrapur Rajpur Sonarpur, Kolkata",₹41.8 Lac ,"₹4,988 per sqft ",838 sqft,Ready to Move,2,1 out of 4,"Garden/Park, Main Road",South -West,,,Sherwood Estate,Freehold,Resale
"2 BHK Flat  for Sale in  Maheshtala, Kolkata",₹24 Lac ,"₹3,371 per sqft ",468 sqft,Ready to Move,2,1 out of 14,"Garden/Park, Pool, Main Road",South - East,68 Open,1,Hiland Greens,Freehold,Resale
"3 BHK Flat  for Sale in  Bramhapur, Kolkata",₹43 Lac ,"₹4,526 per sqft ",808 sqft,Ready to Move,2,3 out of 3,,,1 Covered,1,,Freehold,Resale
"2 BHK Flat  for Sale in  Picnic Garden, Tiljala, Kolkata",₹29 Lac ,"₹4,462 per sqft ",650 sqft,Ready to Move,1,4 out of 4,,,,,,,Resale
"3 BHK Flat  for Sale in  Alipore, Kolkata",₹1.50 Cr ,"₹9,888 per sqft ",1137 sqft,Ready to Move,3,1 out of 8,Main Road,North,1 Covered,1,,Co-operative Society,Resale
"3 BHK Flat  for Sale in  Kestopur, Kolkata",₹1.25 Cr ,"₹6,757 per sqft ",1182 sqft,Ready to Move,3,9 out of 10,,,,2,Viswakarma Shyam Residency,,Resale
"2 BHK Flat  for Sale in  Garia, Kolkata",₹37 Lac ,"₹5,286 per sqft ",650 sqft,Ready to Move,2,3 out of 3,Main Road,South,,1,,Freehold,Resale
"3 BHK Flat  for Sale in  Ultadanga, Kolkata",₹2.50 Cr ,"₹14,221 per sqft ",1758 sqft,Ready to Move,3,18 out of 18,Main Road,South - East,1 Open,2,,Leasehold,Resale
"2 BHK Flat  for Sale in  Joka, Kolkata",₹49 Lac ,"₹5,998 per sqft ",817 sqft,,2,15 out of 17,Pool,South -West,,1,Orchard PH 2B at Godrej Se7en,Freehold,Resale
"3 BHK Flat  for Sale in  Chinar Park, Rajarhat, Kolkata",₹79.5 Lac ,"₹5,368 per sqft ",1150 sqft,Ready to Move,2,2 out of 4,Main Road,South - East,1 Covered,1,Symphoni Enclave,Freehold,Resale
"5 BHK Flat  for Sale in  Bhowanipore, Kolkata",₹4.25 Cr ,"₹15,741 per sqft ",2700 sqft,Ready to Move,5,3 out of 6,,,,,,,Resale
"3 BHK Flat  for Sale in  Eastern Metropolitan Bypass, Kolkata",₹1.35 Cr ,"₹9,285 per sqft ",1050 sqft,Ready to Move,2,11 out of 11,"Pool, Main Road",North - East,,1,4 Sight Impression,Freehold,Resale
"4 BHK Flat  for Sale in  Basanta Lal Saha Road, Kolkata",₹1.65 Cr ,"₹6,846 per sqft ",2000 sqft,Ready to Move,3,4 out of 4,"Garden/Park, Main Road",East,,2,South City Villa,Freehold,Resale
"2 BHK Flat  for Sale in  Maheshtala, Kolkata",₹29 Lac ,"₹5,206 per sqft ",447 sqft,Ready to Move,2,5 out of 14,,East,,1,Hiland Greens,Freehold,New Property
"3 BHK Flat  for Sale in  Barasat, Kolkata",₹22 Lac ,"₹2,280 per sqft ",772 sqft,Ready to Move,2,4 out of 6,"Garden/Park, Pool",South - East,1 Covered,1,Larica Township,Freehold,Resale
2 BHK Flat  for Sale in   Kolkata,₹33 Lac ,"₹4,628 per sqft ",713 sqft,Ready to Move,2,Ground out of 4,,South - East,,1,,Freehold,Resale
"2 BHK Flat  for Sale in  Chandni Chawk, Bow Bazar, Kolkata",₹1 Cr ,"₹3,497 per sqft ",3811 sqft,Ready to Move,1,4 out of 4,Main Road,,5 Open,1,,Freehold,Resale
"3 BHK Flat  for Sale in  Nayabad, Kolkata",₹60 Lac ,"₹4,528 per sqft ",1000 sqft,Ready to Move,2,3 out of 3,,South - East,,1,Mayfair Bliss,Freehold,Resale
" Studio Apartment  for Sale in  Amtala, Diamond Harbour Road, Kolkata",₹31 Lac ,"₹5,616 per sqft ",552 sqft,Ready to Move,1,3 out of 4,,South -West,1 Covered,1,Merlin Greens,Freehold,Resale
2 BHK Flat  for Sale in   Kolkata,₹1 Cr ,"₹6,614 per sqft ",1150 sqft,Ready to Move,2,1 out of 4,"Garden/Park, Main Road",South - East,,1,,,Resale
"2 BHK Flat  for Sale in  Rajarhat, Kolkata",₹75 Lac ,"₹11,013 per sqft ",618 sqft,Ready to Move,2,8 out of 18,"Garden/Park, Pool, Main Road",North - East,,1,Loharuka Urban Vista,Freehold,Resale
"3 BHK Flat  for Sale in  Picnic Garden Road, Kolkata",₹1.59 Cr ,"₹10,593 per sqft ",1501 sqft,Ready to Move,3,6 out of 12,Pool,South - East,,1,Merlin Iland,Freehold,Resale
"2 BHK Flat  for Sale in  Eastern Metropolitan Bypass, Kolkata",₹40 Lac ,"₹5,089 per sqft ",562 sqft,Ready to Move,2,4 out of 4,Garden/Park,South,1 Covered,1,,Freehold,Resale
"3 BHK Flat  for Sale in  Rajarhat, Kolkata",₹55 Lac ,"₹5,446 per sqft ",800 sqft,Ready to Move,2,2 out of 4,"Garden/Park, Pool",South - East,,1,Siddha Town,Freehold,Resale
"3 BHK Flat  for Sale in  Katju Nagar, Kolkata",₹1.10 Cr ,"₹8,800 per sqft ",1150 sqft,Ready to Move,2,3 out of 5,,,,1,,,Resale
"2 BHK Flat  for Sale in  New Ballygunge, Kasba, Kolkata",₹31 Lac ,"₹4,241 per sqft ",640 sqft,Ready to Move,1,3 out of 4,Main Road,East,,1,,Freehold,New Property
"3 BHK Flat  for Sale in  Mandirtala Shibpur, Kolkata",₹90 Lac ,"₹7,212 per sqft ",1200 sqft,Ready to Move,2,1 out of 4,,,,2,,,Resale
"3 BHK Flat  for Sale in  Mukundapur, Kolkata",₹5 Cr ,"₹17,117 per sqft ",2336 sqft,Ready to Move,3,22 out of 24,Main Road,South - East,2 Covered,2,Ambuja Utalika The Condoville,Freehold,Resale
"3 BHK Flat  for Sale in  Khidirpur, Kolkata",₹80 Lac ,"₹7,273 per sqft ",1100 sqft,Ready to Move,2,2 out of 5,,,,,,,Resale
"2 BHK Flat  for Sale in  Haltu, Kolkata",₹68 Lac ,"₹6,538 per sqft ",900 sqft,Ready to Move,2,1 out of 4,Main Road,South - East,,1,Imarat Nest,Freehold,Resale
"2 BHK Flat  for Sale in  South K Deb Road, Kolkata",₹35 Lac ,,707 sqft,Ready to Move,2,4 out of 4,Garden/Park,South -West,,1,,Freehold,Resale
"2 BHK Flat  for Sale in  Netaji Nagar, Kolkata",₹18 Lac ,"₹3,072 per sqft ",586 sqft,Ready to Move,1,Ground out of 5,,East,,1,Kalyani Apartment,Freehold,Resale
"2 BHK Flat  for Sale in  Kudghat, Ashok Nagar, Kolkata",₹19 Lac ,"₹3,592 per sqft ",450 sqft,Ready to Move,1,3 out of 3,Main Road,West,,,,Freehold,Resale
